Year,Units,Geography,Fuel type,Demand characteristics,Value
2018,Terajoules,Northwest Territories,Total refined petroleum products,Agriculture,0
2019,Terajoules,Northwest Territories,Total refined petroleum products,Agriculture,0
2015,Terajoules,Northwest Territories,Total refined petroleum products,Residential,1160
2016,Terajoules,Northwest Territories,Total refined petroleum products,Residential,727
2017,Terajoules,Northwest Territories,Total refined petroleum products,Residential,499
2018,Terajoules,Northwest Territories,Total refined petroleum products,Residential,572
2019,Terajoules,Northwest Territories,Total refined petroleum products,Residential,323
2015,Terajoules,Northwest Territories,Total refined petroleum products,Public administration,170
2016,Terajoules,Northwest Territories,Total refined petroleum products,Public administration,597
2017,Terajoules,Northwest Territories,Total refined petroleum products,Public administration,1434
2018,Terajoules,Northwest Territories,Total refined petroleum products,Public administration,1309
2019,Terajoules,Northwest Territories,Total refined petroleum products,Public administration,1374
2015,Terajoules,Northwest Territories,Total refined petroleum products,Commercial and other institutional,755
2016,Terajoules,Northwest Territories,Total refined petroleum products,Commercial and other institutional,536
2017,Terajoules,Northwest Territories,Total refined petroleum products,Commercial and other institutional,753
2018,Terajoules,Northwest Territories,Total refined petroleum products,Commercial and other institutional,766
2019,Terajoules,Northwest Territories,Total refined petroleum products,Commercial and other institutional,1067
2015,Terajoules,Nunavut,Total primary and secondary energy,Energy use - final demand,7306
2016,Terajoules,Nunavut,Total primary and secondary energy,Energy use - final demand,6867
2017,Terajoules,Nunavut,Total primary and secondary energy,Energy use - final demand,6358
2018,Terajoules,Nunavut,Total primary and secondary energy,Energy use - final demand,5839
2019,Terajoules,Nunavut,Total primary and secondary energy,Energy use - final demand,5516
2015,Terajoules,Nunavut,Total primary and secondary energy,Total industrial,1536
2016,Terajoules,Nunavut,Total primary and secondary energy,Total industrial,2168
2017,Terajoules,Nunavut,Total primary and secondary energy,Total industrial,2057
2018,Terajoules,Nunavut,Total primary and secondary energy,Total industrial,1726
2019,Terajoules,Nunavut,Total primary and secondary energy,Total industrial,1545
2015,Terajoules,Nunavut,Total primary and secondary energy,Total transportation,4253
2016,Terajoules,Nunavut,Total primary and secondary energy,Total transportation,2780
2017,Terajoules,Nunavut,Total primary and secondary energy,Total transportation,2472
2018,Terajoules,Nunavut,Total primary and secondary energy,Total transportation,2446
2019,Terajoules,Nunavut,Total primary and secondary energy,Total transportation,2379
2015,Terajoules,Nunavut,Total primary and secondary energy,Agriculture,138
2016,Terajoules,Nunavut,Total primary and secondary energy,Agriculture,192
2017,Terajoules,Nunavut,Total primary and secondary energy,Agriculture,184
2018,Terajoules,Nunavut,Total primary and secondary energy,Agriculture,146
2019,Terajoules,Nunavut,Total primary and secondary energy,Agriculture,129
2015,Terajoules,Nunavut,Total primary and secondary energy,Residential,241
2016,Terajoules,Nunavut,Total primary and secondary energy,Residential,240
2017,Terajoules,Nunavut,Total primary and secondary energy,Residential,241
2018,Terajoules,Nunavut,Total primary and secondary energy,Residential,240
2019,Terajoules,Nunavut,Total primary and secondary energy,Residential,237
2015,Terajoules,Nunavut,Total primary and secondary energy,Public administration,430
2016,Terajoules,Nunavut,Total primary and secondary energy,Public administration,486
2017,Terajoules,Nunavut,Total primary and secondary energy,Public administration,447
2018,Terajoules,Nunavut,Total primary and secondary energy,Public administration,384
2019,Terajoules,Nunavut,Total primary and secondary energy,Public administration,359
2015,Terajoules,Nunavut,Total primary and secondary energy,Commercial and other institutional,708
2016,Terajoules,Nunavut,Total primary and secondary energy,Commercial and other institutional,1003
2017,Terajoules,Nunavut,Total primary and secondary energy,Commercial and other institutional,958
2018,Terajoules,Nunavut,Total primary and secondary energy,Commercial and other institutional,898
2019,Terajoules,Nunavut,Total primary and secondary energy,Commercial and other institutional,865
2015,Terajoules,Nunavut,Hydroelectricity,Energy use - final demand,365
2016,Terajoules,Nunavut,Hydroelectricity,Energy use - final demand,626
2017,Terajoules,Nunavut,Hydroelectricity,Energy use - final demand,630
2018,Terajoules,Nunavut,Hydroelectricity,Energy use - final demand,641
2019,Terajoules,Nunavut,Hydroelectricity,Energy use - final demand,641
2015,Terajoules,Nunavut,Hydroelectricity,Total industrial,0
2016,Terajoules,Nunavut,Hydroelectricity,Total industrial,0
2017,Terajoules,Nunavut,Hydroelectricity,Total industrial,0
2018,Terajoules,Nunavut,Hydroelectricity,Total industrial,0
2019,Terajoules,Nunavut,Hydroelectricity,Total industrial,3
2015,Terajoules,Nunavut,Hydroelectricity,Residential,241
2016,Terajoules,Nunavut,Hydroelectricity,Residential,240
2017,Terajoules,Nunavut,Hydroelectricity,Residential,241
2018,Terajoules,Nunavut,Hydroelectricity,Residential,240
2019,Terajoules,Nunavut,Hydroelectricity,Residential,237
2015,Terajoules,Nunavut,Hydroelectricity,Public administration,8
2016,Terajoules,Nunavut,Hydroelectricity,Public administration,8
2017,Terajoules,Nunavut,Hydroelectricity,Public administration,7
2018,Terajoules,Nunavut,Hydroelectricity,Public administration,4
2019,Terajoules,Nunavut,Hydroelectricity,Public administration,4
2015,Terajoules,Nunavut,Hydroelectricity,Commercial and other institutional,116
2016,Terajoules,Nunavut,Hydroelectricity,Commercial and other institutional,378
2017,Terajoules,Nunavut,Hydroelectricity,Commercial and other institutional,382
2018,Terajoules,Nunavut,Hydroelectricity,Commercial and other institutional,397
2019,Terajoules,Nunavut,Hydroelectricity,Commercial and other institutional,397
2015,Terajoules,Nunavut,Total refined petroleum products,Energy use - final demand,6941
2016,Terajoules,Nunavut,Total refined petroleum products,Energy use - final demand,6241
2017,Terajoules,Nunavut,Total refined petroleum products,Energy use - final demand,5728
2018,Terajoules,Nunavut,Total refined petroleum products,Energy use - final demand,5197
2019,Terajoules,Nunavut,Total refined petroleum products,Energy use - final demand,4875
2015,Terajoules,Nunavut,Total refined petroleum products,Total industrial,1536
2016,Terajoules,Nunavut,Total refined petroleum products,Total industrial,2168
2017,Terajoules,Nunavut,Total refined petroleum products,Total industrial,2057
2018,Terajoules,Nunavut,Total refined petroleum products,Total industrial,1726
2019,Terajoules,Nunavut,Total refined petroleum products,Total industrial,1542
2015,Terajoules,Nunavut,Total refined petroleum products,Total transportation,4253
2016,Terajoules,Nunavut,Total refined petroleum products,Total transportation,2780
2017,Terajoules,Nunavut,Total refined petroleum products,Total transportation,2472
2018,Terajoules,Nunavut,Total refined petroleum products,Total transportation,2446
2019,Terajoules,Nunavut,Total refined petroleum products,Total transportation,2379
2015,Terajoules,Nunavut,Total refined petroleum products,Agriculture,138
2016,Terajoules,Nunavut,Total refined petroleum products,Agriculture,192
2017,Terajoules,Nunavut,Total refined petroleum products,Agriculture,184
2018,Terajoules,Nunavut,Total refined petroleum products,Agriculture,146
2019,Terajoules,Nunavut,Total refined petroleum products,Agriculture,129
2015,Terajoules,Nunavut,Total refined petroleum products,Residential,0
2016,Terajoules,Nunavut,Total refined petroleum products,Residential,0
2017,Terajoules,Nunavut,Total refined petroleum products,Residential,0
2018,Terajoules,Nunavut,Total refined petroleum products,Residential,0
2019,Terajoules,Nunavut,Total refined petroleum products,Residential,0
2015,Terajoules,Nunavut,Total refined petroleum products,Public administration,422
2016,Terajoules,Nunavut,Total refined petroleum products,Public administration,478
2017,Terajoules,Nunavut,Total refined petroleum products,Public administration,440
2018,Terajoules,Nunavut,Total refined petroleum products,Public administration,380
2019,Terajoules,Nunavut,Total refined petroleum products,Public administration,355
2015,Terajoules,Nunavut,Total refined petroleum products,Commercial and other institutional,592
2016,Terajoules,Nunavut,Total refined petroleum products,Commercial and other institutional,625
2017,Terajoules,Nunavut,Total refined petroleum products,Commercial and other institutional,576
2018,Terajoules,Nunavut,Total refined petroleum products,Commercial and other institutional,500
2019,Terajoules,Nunavut,Total refined petroleum products,Commercial and other institutional,469
2015,Per capita,Alberta,Total primary and secondary energy,Energy use - final demand,0.49
2015,Per capita,Alberta,Total primary and secondary energy,Total industrial,0.26
2015,Per capita,Alberta,Total primary and secondary energy,Total transportation,0.12
2015,Per capita,Alberta,Total primary and secondary energy,Agriculture,0.02
2015,Per capita,Alberta,Total primary and secondary energy,Residential,0.05
2015,Per capita,Alberta,Total primary and secondary energy,Public administration,0
2015,Per capita,Alberta,Total primary and secondary energy,Commercial and other institutional,0.04
2015,Per capita,Alberta,Total coal,Energy use - final demand,0
2015,Per capita,Alberta,Total coal,Total industrial,0
2015,Per capita,Alberta,Natural gas,Energy use - final demand,0.29
2015,Per capita,Alberta,Natural gas,Total industrial,0.21
2015,Per capita,Alberta,Natural gas,Total transportation,0.01
2015,Per capita,Alberta,Natural gas,Agriculture,0
2015,Per capita,Alberta,Natural gas,Residential,0.04
2015,Per capita,Alberta,Natural gas,Public administration,0
2015,Per capita,Alberta,Natural gas,Commercial and other institutional,0.02
2015,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2015,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total industrial,0.01
2015,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total transportation,0
2015,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Agriculture,0
2015,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Residential,0
2015,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2015,Per capita,Alberta,Hydroelectricity,Energy use - final demand,0.05
2015,Per capita,Alberta,Hydroelectricity,Total industrial,0.02
2015,Per capita,Alberta,Hydroelectricity,Total transportation,0
2015,Per capita,Alberta,Hydroelectricity,Agriculture,0
2015,Per capita,Alberta,Hydroelectricity,Residential,0.01
2015,Per capita,Alberta,Hydroelectricity,Public administration,0
2015,Per capita,Alberta,Hydroelectricity,Commercial and other institutional,0.01
2015,Per capita,Alberta,Total refined petroleum products,Energy use - final demand,0.14
2015,Per capita,Alberta,Total refined petroleum products,Total industrial,0.02
2015,Per capita,Alberta,Total refined petroleum products,Total transportation,0.1
2015,Per capita,Alberta,Total refined petroleum products,Agriculture,0.01
2015,Per capita,Alberta,Total refined petroleum products,Residential,0
2015,Per capita,Alberta,Total refined petroleum products,Public administration,0
2015,Per capita,Alberta,Total refined petroleum products,Commercial and other institutional,0
2016,Per capita,Alberta,Total primary and secondary energy,Energy use - final demand,0.46
2016,Per capita,Alberta,Total primary and secondary energy,Total industrial,0.24
2016,Per capita,Alberta,Total primary and secondary energy,Total transportation,0.11
2016,Per capita,Alberta,Total primary and secondary energy,Agriculture,0.02
2016,Per capita,Alberta,Total primary and secondary energy,Residential,0.05
2016,Per capita,Alberta,Total primary and secondary energy,Public administration,0
2016,Per capita,Alberta,Total primary and secondary energy,Commercial and other institutional,0.04
2016,Per capita,Alberta,Total coal,Energy use - final demand,0
2016,Per capita,Alberta,Natural gas,Energy use - final demand,0.27
2016,Per capita,Alberta,Natural gas,Total industrial,0.19
2016,Per capita,Alberta,Natural gas,Total transportation,0.02
2016,Per capita,Alberta,Natural gas,Agriculture,0
2016,Per capita,Alberta,Natural gas,Residential,0.04
2016,Per capita,Alberta,Natural gas,Public administration,0
2016,Per capita,Alberta,Natural gas,Commercial and other institutional,0.03
2016,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2016,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total transportation,0
2016,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2016,Per capita,Alberta,Hydroelectricity,Energy use - final demand,0.05
2016,Per capita,Alberta,Hydroelectricity,Total industrial,0.02
2016,Per capita,Alberta,Hydroelectricity,Total transportation,0
2016,Per capita,Alberta,Hydroelectricity,Agriculture,0
2016,Per capita,Alberta,Hydroelectricity,Residential,0.01
2016,Per capita,Alberta,Hydroelectricity,Public administration,0
2016,Per capita,Alberta,Hydroelectricity,Commercial and other institutional,0.01
2016,Per capita,Alberta,Steam,Energy use - final demand,0
2016,Per capita,Alberta,Steam,Total industrial,0
2016,Per capita,Alberta,Total refined petroleum products,Energy use - final demand,0.13
2016,Per capita,Alberta,Total refined petroleum products,Total industrial,0.01
2016,Per capita,Alberta,Total refined petroleum products,Total transportation,0.09
2016,Per capita,Alberta,Total refined petroleum products,Agriculture,0.01
2016,Per capita,Alberta,Total refined petroleum products,Residential,0
2016,Per capita,Alberta,Total refined petroleum products,Public administration,0
2016,Per capita,Alberta,Total refined petroleum products,Commercial and other institutional,0
2017,Per capita,Alberta,Total primary and secondary energy,Energy use - final demand,0.5
2017,Per capita,Alberta,Total primary and secondary energy,Total industrial,0.26
2017,Per capita,Alberta,Total primary and secondary energy,Total transportation,0.12
2017,Per capita,Alberta,Total primary and secondary energy,Agriculture,0.02
2017,Per capita,Alberta,Total primary and secondary energy,Residential,0.05
2017,Per capita,Alberta,Total primary and secondary energy,Public administration,0.01
2017,Per capita,Alberta,Total primary and secondary energy,Commercial and other institutional,0.05
2017,Per capita,Alberta,Total coal,Energy use - final demand,0
2017,Per capita,Alberta,Natural gas,Energy use - final demand,0.3
2017,Per capita,Alberta,Natural gas,Total industrial,0.2
2017,Per capita,Alberta,Natural gas,Total transportation,0.02
2017,Per capita,Alberta,Natural gas,Agriculture,0
2017,Per capita,Alberta,Natural gas,Residential,0.04
2017,Per capita,Alberta,Natural gas,Public administration,0
2017,Per capita,Alberta,Natural gas,Commercial and other institutional,0.03
2017,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2017,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total transportation,0
2017,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2017,Per capita,Alberta,Hydroelectricity,Energy use - final demand,0.05
2017,Per capita,Alberta,Hydroelectricity,Total industrial,0.02
2017,Per capita,Alberta,Hydroelectricity,Total transportation,0
2017,Per capita,Alberta,Hydroelectricity,Agriculture,0
2017,Per capita,Alberta,Hydroelectricity,Residential,0.01
2017,Per capita,Alberta,Hydroelectricity,Public administration,0
2017,Per capita,Alberta,Hydroelectricity,Commercial and other institutional,0.02
2017,Per capita,Alberta,Steam,Energy use - final demand,0
2017,Per capita,Alberta,Steam,Total industrial,0
2017,Per capita,Alberta,Total refined petroleum products,Energy use - final demand,0.13
2017,Per capita,Alberta,Total refined petroleum products,Total industrial,0.02
2017,Per capita,Alberta,Total refined petroleum products,Total transportation,0.1
2017,Per capita,Alberta,Total refined petroleum products,Agriculture,0.01
2017,Per capita,Alberta,Total refined petroleum products,Residential,0
2017,Per capita,Alberta,Total refined petroleum products,Public administration,0
2017,Per capita,Alberta,Total refined petroleum products,Commercial and other institutional,0
2018,Per capita,Alberta,Total primary and secondary energy,Energy use - final demand,0.53
2018,Per capita,Alberta,Total primary and secondary energy,Total industrial,0.28
2018,Per capita,Alberta,Total primary and secondary energy,Total transportation,0.12
2018,Per capita,Alberta,Total primary and secondary energy,Agriculture,0.02
2018,Per capita,Alberta,Total primary and secondary energy,Residential,0.05
2018,Per capita,Alberta,Total primary and secondary energy,Public administration,0.01
2018,Per capita,Alberta,Total primary and secondary energy,Commercial and other institutional,0.05
2018,Per capita,Alberta,Total coal,Energy use - final demand,0
2018,Per capita,Alberta,Total coal,Total industrial,0
2018,Per capita,Alberta,Total coal,Agriculture,0
2018,Per capita,Alberta,Natural gas,Energy use - final demand,0.33
2018,Per capita,Alberta,Natural gas,Total industrial,0.23
2018,Per capita,Alberta,Natural gas,Total transportation,0.02
2018,Per capita,Alberta,Natural gas,Agriculture,0
2018,Per capita,Alberta,Natural gas,Residential,0.04
2018,Per capita,Alberta,Natural gas,Public administration,0
2018,Per capita,Alberta,Natural gas,Commercial and other institutional,0.03
2018,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2018,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total industrial,0.01
2018,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total transportation,0
2018,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Agriculture,0
2018,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Residential,0
2018,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2018,Per capita,Alberta,Hydroelectricity,Energy use - final demand,0.05
2018,Per capita,Alberta,Hydroelectricity,Total industrial,0.02
2018,Per capita,Alberta,Hydroelectricity,Total transportation,0
2018,Per capita,Alberta,Hydroelectricity,Agriculture,0
2018,Per capita,Alberta,Hydroelectricity,Residential,0.01
2018,Per capita,Alberta,Hydroelectricity,Public administration,0
2018,Per capita,Alberta,Hydroelectricity,Commercial and other institutional,0.01
2018,Per capita,Alberta,Steam,Energy use - final demand,0
2018,Per capita,Alberta,Steam,Total industrial,0
2018,Per capita,Alberta,Total refined petroleum products,Energy use - final demand,0.13
2018,Per capita,Alberta,Total refined petroleum products,Total industrial,0.02
2018,Per capita,Alberta,Total refined petroleum products,Total transportation,0.1
2018,Per capita,Alberta,Total refined petroleum products,Agriculture,0.01
2018,Per capita,Alberta,Total refined petroleum products,Residential,0
2018,Per capita,Alberta,Total refined petroleum products,Public administration,0
2018,Per capita,Alberta,Total refined petroleum products,Commercial and other institutional,0
2019,Per capita,Alberta,Total primary and secondary energy,Energy use - final demand,0.52
2019,Per capita,Alberta,Total primary and secondary energy,Total industrial,0.28
2019,Per capita,Alberta,Total primary and secondary energy,Total transportation,0.12
2019,Per capita,Alberta,Total primary and secondary energy,Agriculture,0.01
2019,Per capita,Alberta,Total primary and secondary energy,Residential,0.05
2019,Per capita,Alberta,Total primary and secondary energy,Public administration,0
2019,Per capita,Alberta,Total primary and secondary energy,Commercial and other institutional,0.05
2019,Per capita,Alberta,Total coal,Energy use - final demand,0
2019,Per capita,Alberta,Total coal,Total industrial,0
2019,Per capita,Alberta,Natural gas,Energy use - final demand,0.32
2019,Per capita,Alberta,Natural gas,Total industrial,0.23
2019,Per capita,Alberta,Natural gas,Total transportation,0.02
2019,Per capita,Alberta,Natural gas,Agriculture,0
2019,Per capita,Alberta,Natural gas,Residential,0.04
2019,Per capita,Alberta,Natural gas,Public administration,0
2019,Per capita,Alberta,Natural gas,Commercial and other institutional,0.03
2019,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Energy use - final demand,0.01
2019,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total industrial,0.01
2019,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Total transportation,0
2019,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Agriculture,0
2019,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Residential,0
2019,Per capita,Alberta,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2019,Per capita,Alberta,Hydroelectricity,Energy use - final demand,0.05
2019,Per capita,Alberta,Hydroelectricity,Total industrial,0.02
2019,Per capita,Alberta,Hydroelectricity,Total transportation,0
2019,Per capita,Alberta,Hydroelectricity,Agriculture,0
2019,Per capita,Alberta,Hydroelectricity,Residential,0.01
2019,Per capita,Alberta,Hydroelectricity,Public administration,0
2019,Per capita,Alberta,Hydroelectricity,Commercial and other institutional,0.01
2019,Per capita,Alberta,Steam,Energy use - final demand,0
2019,Per capita,Alberta,Steam,Total industrial,0
2019,Per capita,Alberta,Total refined petroleum products,Energy use - final demand,0.14
2019,Per capita,Alberta,Total refined petroleum products,Total industrial,0.02
2019,Per capita,Alberta,Total refined petroleum products,Total transportation,0.1
2019,Per capita,Alberta,Total refined petroleum products,Agriculture,0.01
2019,Per capita,Alberta,Total refined petroleum products,Residential,0
2019,Per capita,Alberta,Total refined petroleum products,Public administration,0
2019,Per capita,Alberta,Total refined petroleum products,Commercial and other institutional,0
2015,Per capita,British Columbia,Total primary and secondary energy,Energy use - final demand,0.18
2015,Per capita,British Columbia,Total primary and secondary energy,Total industrial,0.05
2015,Per capita,British Columbia,Total primary and secondary energy,Total transportation,0.07
2015,Per capita,British Columbia,Total primary and secondary energy,Agriculture,0.01
2015,Per capita,British Columbia,Total primary and secondary energy,Residential,0.03
2015,Per capita,British Columbia,Total primary and secondary energy,Public administration,0
2015,Per capita,British Columbia,Total primary and secondary energy,Commercial and other institutional,0.02
2015,Per capita,British Columbia,Total coal,Energy use - final demand,0
2015,Per capita,British Columbia,Total coal,Total industrial,0
2015,Per capita,British Columbia,Natural gas,Energy use - final demand,0.05
2015,Per capita,British Columbia,Natural gas,Total industrial,0.02
2015,Per capita,British Columbia,Natural gas,Total transportation,0.01
2015,Per capita,British Columbia,Natural gas,Agriculture,0
2015,Per capita,British Columbia,Natural gas,Residential,0.02
2015,Per capita,British Columbia,Natural gas,Public administration,0
2015,Per capita,British Columbia,Natural gas,Commercial and other institutional,0.01
2015,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Energy use - final demand,0
2015,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,0
2015,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,0
2015,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,0
2015,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Residential,0
2015,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2015,Per capita,British Columbia,Hydroelectricity,Energy use - final demand,0.04
2015,Per capita,British Columbia,Hydroelectricity,Total industrial,0.02
2015,Per capita,British Columbia,Hydroelectricity,Total transportation,0
2015,Per capita,British Columbia,Hydroelectricity,Agriculture,0
2015,Per capita,British Columbia,Hydroelectricity,Residential,0.01
2015,Per capita,British Columbia,Hydroelectricity,Public administration,0
2015,Per capita,British Columbia,Hydroelectricity,Commercial and other institutional,0.01
2015,Per capita,British Columbia,Total refined petroleum products,Energy use - final demand,0.08
2015,Per capita,British Columbia,Total refined petroleum products,Total industrial,0.01
2015,Per capita,British Columbia,Total refined petroleum products,Total transportation,0.07
2015,Per capita,British Columbia,Total refined petroleum products,Agriculture,0
2015,Per capita,British Columbia,Total refined petroleum products,Residential,0
2015,Per capita,British Columbia,Total refined petroleum products,Public administration,0
2015,Per capita,British Columbia,Total refined petroleum products,Commercial and other institutional,0
2016,Per capita,British Columbia,Total primary and secondary energy,Energy use - final demand,0.18
2016,Per capita,British Columbia,Total primary and secondary energy,Total industrial,0.05
2016,Per capita,British Columbia,Total primary and secondary energy,Total transportation,0.07
2016,Per capita,British Columbia,Total primary and secondary energy,Agriculture,0.01
2016,Per capita,British Columbia,Total primary and secondary energy,Residential,0.03
2016,Per capita,British Columbia,Total primary and secondary energy,Public administration,0
2016,Per capita,British Columbia,Total primary and secondary energy,Commercial and other institutional,0.02
2016,Per capita,British Columbia,Natural gas,Energy use - final demand,0.05
2016,Per capita,British Columbia,Natural gas,Total industrial,0.02
2016,Per capita,British Columbia,Natural gas,Total transportation,0.01
2016,Per capita,British Columbia,Natural gas,Agriculture,0
2016,Per capita,British Columbia,Natural gas,Residential,0.02
2016,Per capita,British Columbia,Natural gas,Public administration,0
2016,Per capita,British Columbia,Natural gas,Commercial and other institutional,0.01
2016,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Energy use - final demand,0
2016,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,0
2016,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,0
2016,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,0
2016,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Residential,0
2016,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2016,Per capita,British Columbia,Hydroelectricity,Energy use - final demand,0.05
2016,Per capita,British Columbia,Hydroelectricity,Total industrial,0.02
2016,Per capita,British Columbia,Hydroelectricity,Total transportation,0
2016,Per capita,British Columbia,Hydroelectricity,Agriculture,0
2016,Per capita,British Columbia,Hydroelectricity,Residential,0.01
2016,Per capita,British Columbia,Hydroelectricity,Public administration,0
2016,Per capita,British Columbia,Hydroelectricity,Commercial and other institutional,0.01
2016,Per capita,British Columbia,Total refined petroleum products,Energy use - final demand,0.08
2016,Per capita,British Columbia,Total refined petroleum products,Total industrial,0.01
2016,Per capita,British Columbia,Total refined petroleum products,Total transportation,0.07
2016,Per capita,British Columbia,Total refined petroleum products,Agriculture,0
2016,Per capita,British Columbia,Total refined petroleum products,Residential,0
2016,Per capita,British Columbia,Total refined petroleum products,Public administration,0
2016,Per capita,British Columbia,Total refined petroleum products,Commercial and other institutional,0
2017,Per capita,British Columbia,Total primary and secondary energy,Total industrial,0.05
2017,Per capita,British Columbia,Total primary and secondary energy,Total transportation,0.07
2017,Per capita,British Columbia,Total primary and secondary energy,Agriculture,0.01
2017,Per capita,British Columbia,Total primary and secondary energy,Residential,0.03
2017,Per capita,British Columbia,Total primary and secondary energy,Public administration,0
2017,Per capita,British Columbia,Total primary and secondary energy,Commercial and other institutional,0.02
2017,Per capita,British Columbia,Natural gas,Energy use - final demand,0.05
2017,Per capita,British Columbia,Natural gas,Total industrial,0.02
2017,Per capita,British Columbia,Natural gas,Total transportation,0.01
2017,Per capita,British Columbia,Natural gas,Agriculture,0
2017,Per capita,British Columbia,Natural gas,Residential,0.02
2017,Per capita,British Columbia,Natural gas,Public administration,0
2017,Per capita,British Columbia,Natural gas,Commercial and other institutional,0.01
2017,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Energy use - final demand,0
2017,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,0
2017,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,0
2017,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,0
2017,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Residential,0
2017,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,0
2017,Per capita,British Columbia,Hydroelectricity,Energy use - final demand,0.05
2017,Per capita,British Columbia,Hydroelectricity,Total industrial,0.02
2017,Per capita,British Columbia,Hydroelectricity,Total transportation,0
2017,Per capita,British Columbia,Hydroelectricity,Agriculture,0
2017,Per capita,British Columbia,Hydroelectricity,Residential,0.01
2017,Per capita,British Columbia,Hydroelectricity,Public administration,0
2017,Per capita,British Columbia,Hydroelectricity,Commercial and other institutional,0.01
2017,Per capita,British Columbia,Steam,Total industrial,0
2017,Per capita,British Columbia,Total refined petroleum products,Energy use - final demand,0.09
2017,Per capita,British Columbia,Total refined petroleum products,Total industrial,0.01
2017,Per capita,British Columbia,Total refined petroleum products,Total transportation,0.07
2017,Per capita,British Columbia,Total refined petroleum products,Agriculture,0
2017,Per capita,British Columbia,Total refined petroleum products,Residential,0
2017,Per capita,British Columbia,Total refined petroleum products,Public administration,0
2017,Per capita,British Columbia,Total refined petroleum products,Commercial and other institutional,0
2018,Per capita,British Columbia,Total primary and secondary energy,Energy use - final demand,0.2
2018,Per capita,British Columbia,Total primary and secondary energy,Total industrial,0.05
2018,Per capita,British Columbia,Total primary and secondary energy,Total transportation,0.08
2018,Per capita,British Columbia,Total primary and secondary energy,Agriculture,0.01
2018,Per capita,British Columbia,Total primary and secondary energy,Residential,0.03
2018,Per capita,British Columbia,Total primary and secondary energy,Public administration,0
2018,Per capita,British Columbia,Total primary and secondary energy,Commercial and other institutional,0.02
2018,Per capita,British Columbia,Total coal,Energy use - final demand,0
2018,Per capita,British Columbia,Total coal,Total industrial,0
2018,Per capita,British Columbia,Natural gas,Energy use - final demand,0.05
2018,Per capita,British Columbia,Natural gas,Total industrial,0.02
2018,Per capita,British Columbia,Natural gas,Total transportation,0.01
2018,Per capita,British Columbia,Natural gas,Agriculture,0
2018,Per capita,British Columbia,Natural gas,Residential,0.02
2018,Per capita,British Columbia,Natural gas,Public administration,0
2018,Per capita,British Columbia,Natural gas,Commercial and other institutional,0.01
2018,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Energy use - final demand,0
2018,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,0
2018,Per capita,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,0
