Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2016,Térajoules,Yukon,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,106
2017,Térajoules,Yukon,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,132
2018,Térajoules,Yukon,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,162
2019,Térajoules,Yukon,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,208
2015,Térajoules,Yukon,Hydroélectricité,Consommation énergétique finale,1419
2016,Térajoules,Yukon,Hydroélectricité,Consommation énergétique finale,1437
2017,Térajoules,Yukon,Hydroélectricité,Consommation énergétique finale,1550
2018,Térajoules,Yukon,Hydroélectricité,Consommation énergétique finale,1518
2019,Térajoules,Yukon,Hydroélectricité,Consommation énergétique finale,1525
2015,Térajoules,Yukon,Hydroélectricité,Total industriel,136
2016,Térajoules,Yukon,Hydroélectricité,Total industriel,150
2017,Térajoules,Yukon,Hydroélectricité,Total industriel,159
2018,Térajoules,Yukon,Hydroélectricité,Total industriel,134
2019,Térajoules,Yukon,Hydroélectricité,Total industriel,139
2015,Térajoules,Yukon,Hydroélectricité,Résidentiel,587
2016,Térajoules,Yukon,Hydroélectricité,Résidentiel,593
2017,Térajoules,Yukon,Hydroélectricité,Résidentiel,650
2018,Térajoules,Yukon,Hydroélectricité,Résidentiel,660
2019,Térajoules,Yukon,Hydroélectricité,Résidentiel,655
2015,Térajoules,Yukon,Hydroélectricité,Administrations publiques,17
2016,Térajoules,Yukon,Hydroélectricité,Administrations publiques,17
2017,Térajoules,Yukon,Hydroélectricité,Administrations publiques,17
2018,Térajoules,Yukon,Hydroélectricité,Administrations publiques,17
2019,Térajoules,Yukon,Hydroélectricité,Administrations publiques,16
2015,Térajoules,Yukon,Hydroélectricité,Commerces et autres institutions,679
2016,Térajoules,Yukon,Hydroélectricité,Commerces et autres institutions,677
2017,Térajoules,Yukon,Hydroélectricité,Commerces et autres institutions,724
2018,Térajoules,Yukon,Hydroélectricité,Commerces et autres institutions,707
2019,Térajoules,Yukon,Hydroélectricité,Commerces et autres institutions,715
2015,Térajoules,Yukon,Total des produits pétroliers raffinés,Consommation énergétique finale,6318
2016,Térajoules,Yukon,Total des produits pétroliers raffinés,Consommation énergétique finale,6421
2017,Térajoules,Yukon,Total des produits pétroliers raffinés,Consommation énergétique finale,6462
2018,Térajoules,Yukon,Total des produits pétroliers raffinés,Consommation énergétique finale,7774
2019,Térajoules,Yukon,Total des produits pétroliers raffinés,Consommation énergétique finale,7916
2015,Térajoules,Yukon,Total des produits pétroliers raffinés,Total industriel,1376
2016,Térajoules,Yukon,Total des produits pétroliers raffinés,Total industriel,1356
2017,Térajoules,Yukon,Total des produits pétroliers raffinés,Total industriel,1757
2018,Térajoules,Yukon,Total des produits pétroliers raffinés,Total industriel,2266
2019,Térajoules,Yukon,Total des produits pétroliers raffinés,Total industriel,2504
2015,Térajoules,Yukon,Total des produits pétroliers raffinés,Total transport,4415
2016,Térajoules,Yukon,Total des produits pétroliers raffinés,Total transport,4528
2017,Térajoules,Yukon,Total des produits pétroliers raffinés,Total transport,4361
2018,Térajoules,Yukon,Total des produits pétroliers raffinés,Total transport,5058
2019,Térajoules,Yukon,Total des produits pétroliers raffinés,Total transport,5066
2015,Térajoules,Yukon,Total des produits pétroliers raffinés,Agriculture,0
2016,Térajoules,Yukon,Total des produits pétroliers raffinés,Agriculture,1
2017,Térajoules,Yukon,Total des produits pétroliers raffinés,Agriculture,0
2018,Térajoules,Yukon,Total des produits pétroliers raffinés,Agriculture,13
2019,Térajoules,Yukon,Total des produits pétroliers raffinés,Agriculture,0
2015,Térajoules,Yukon,Total des produits pétroliers raffinés,Résidentiel,18
2016,Térajoules,Yukon,Total des produits pétroliers raffinés,Résidentiel,40
2017,Térajoules,Yukon,Total des produits pétroliers raffinés,Résidentiel,45
2018,Térajoules,Yukon,Total des produits pétroliers raffinés,Résidentiel,15
2019,Térajoules,Yukon,Total des produits pétroliers raffinés,Résidentiel,13
2015,Térajoules,Yukon,Total des produits pétroliers raffinés,Administrations publiques,160
2016,Térajoules,Yukon,Total des produits pétroliers raffinés,Administrations publiques,70
2017,Térajoules,Yukon,Total des produits pétroliers raffinés,Administrations publiques,140
2018,Térajoules,Yukon,Total des produits pétroliers raffinés,Administrations publiques,132
2019,Térajoules,Yukon,Total des produits pétroliers raffinés,Administrations publiques,157
2015,Térajoules,Yukon,Total des produits pétroliers raffinés,Commerces et autres institutions,348
2016,Térajoules,Yukon,Total des produits pétroliers raffinés,Commerces et autres institutions,425
2017,Térajoules,Yukon,Total des produits pétroliers raffinés,Commerces et autres institutions,160
2018,Térajoules,Yukon,Total des produits pétroliers raffinés,Commerces et autres institutions,289
2019,Térajoules,Yukon,Total des produits pétroliers raffinés,Commerces et autres institutions,177
2015,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Consommation énergétique finale,20970
2016,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Consommation énergétique finale,20168
2017,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Consommation énergétique finale,15670
2018,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Consommation énergétique finale,16650
2019,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Consommation énergétique finale,15618
2015,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total industriel,8494
2016,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total industriel,6707
2017,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total industriel,5738
2018,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total industriel,5727
2019,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total industriel,5687
2015,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total transport,5862
2016,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total transport,6581
2017,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total transport,5519
2018,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total transport,5295
2019,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Total transport,5367
2015,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Agriculture,0
2016,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Agriculture,0
2017,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Agriculture,0
2018,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Agriculture,0
2019,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Agriculture,0
2015,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Résidentiel,1776
2016,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Résidentiel,1399
2017,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Résidentiel,1081
2018,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Résidentiel,1228
2019,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Résidentiel,1010
2015,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Administrations publiques,301
2016,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Administrations publiques,730
2017,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Administrations publiques,1568
2018,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Administrations publiques,1420
2019,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Administrations publiques,1490
2015,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Commerces et autres institutions,4537
2016,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Commerces et autres institutions,4752
2017,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Commerces et autres institutions,1761
2018,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Commerces et autres institutions,2972
2019,Térajoules,Territoires du Nord-Ouest,Énergie primaire et secondaire totale,Commerces et autres institutions,2054
2015,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Consommation énergétique finale,3104
2016,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Consommation énergétique finale,3489
2017,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Consommation énergétique finale,352
2018,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Consommation énergétique finale,1426
2019,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Consommation énergétique finale,91
2015,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Total industriel,0
2016,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Total industriel,0
2017,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Total industriel,0
2018,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Total industriel,0
2019,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Total industriel,1
2015,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Résidentiel,86
2016,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Résidentiel,105
2017,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Résidentiel,75
2018,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Résidentiel,86
2019,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Résidentiel,63
2015,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Commerces et autres institutions,3018
2016,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Commerces et autres institutions,3384
2017,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Commerces et autres institutions,277
2018,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Commerces et autres institutions,1339
2019,Térajoules,Territoires du Nord-Ouest,Gaz naturel,Commerces et autres institutions,27
2015,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,556
2016,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,544
2017,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,503
2018,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,751
2019,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,993
2015,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,198
2016,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,194
2017,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,178
2018,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,263
2019,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,348
2015,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total transport,6
2016,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total transport,6
2017,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total transport,5
2018,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total transport,8
2019,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Total transport,10
2015,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,133
2016,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,130
2017,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,121
2018,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,180
2019,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,238
2015,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2016,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2015,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,219
2016,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,215
2017,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,196
2018,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,293
2019,Térajoules,Territoires du Nord-Ouest,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,387
2015,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Consommation énergétique finale,1097
2016,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Consommation énergétique finale,1207
2017,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Consommation énergétique finale,1072
2018,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Consommation énergétique finale,1093
2019,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Consommation énergétique finale,1095
2015,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Total industriel,24
2016,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Total industriel,20
2017,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Total industriel,15
2018,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Total industriel,19
2019,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Total industriel,21
2015,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Résidentiel,397
2016,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Résidentiel,437
2017,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Résidentiel,386
2018,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Résidentiel,390
2019,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Résidentiel,386
2015,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Administrations publiques,131
2016,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Administrations publiques,132
2017,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Administrations publiques,135
2018,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Administrations publiques,111
2019,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Administrations publiques,116
2015,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Commerces et autres institutions,545
2016,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Commerces et autres institutions,618
2017,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Commerces et autres institutions,536
2018,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Commerces et autres institutions,574
2019,Térajoules,Territoires du Nord-Ouest,Hydroélectricité,Commerces et autres institutions,572
2015,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Consommation énergétique finale,16213
2016,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Consommation énergétique finale,14927
2017,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Consommation énergétique finale,13744
2018,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Consommation énergétique finale,13380
2019,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Consommation énergétique finale,13439
2015,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total industriel,8272
2016,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total industriel,6493
2017,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total industriel,5544
2018,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total industriel,5445
2019,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total industriel,5318
2015,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total transport,5856
2016,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total transport,6575
2017,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total transport,5514
2018,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total transport,5287
2019,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Total transport,5357
2015,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Agriculture,0
2016,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Agriculture,0
2017,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Agriculture,0
2018,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Agriculture,0
2019,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Agriculture,0
2015,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Résidentiel,1160
2016,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Résidentiel,727
2017,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Résidentiel,499
2018,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Résidentiel,572
2019,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Résidentiel,323
2015,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Administrations publiques,170
2016,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Administrations publiques,597
2017,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Administrations publiques,1434
2018,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Administrations publiques,1309
2019,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Administrations publiques,1374
2015,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Commerces et autres institutions,755
2016,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Commerces et autres institutions,536
2017,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Commerces et autres institutions,753
2018,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Commerces et autres institutions,766
2019,Térajoules,Territoires du Nord-Ouest,Total des produits pétroliers raffinés,Commerces et autres institutions,1067
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Consommation énergétique finale,7306
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Consommation énergétique finale,6867
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Consommation énergétique finale,6358
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Consommation énergétique finale,5839
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Consommation énergétique finale,5516
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total industriel,1536
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total industriel,2168
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total industriel,2057
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total industriel,1726
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total industriel,1545
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,4253
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2780
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2472
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2446
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2379
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,138
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,192
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,184
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,146
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,129
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,241
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,240
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,241
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,240
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,237
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,430
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,486
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,447
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,384
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,359
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,708
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,1003
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,958
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,898
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,865
2015,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,365
2016,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,626
2017,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,630
2018,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,641
2019,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,641
2015,Térajoules,Nunavut,Hydroélectricité,Total industriel,0
2016,Térajoules,Nunavut,Hydroélectricité,Total industriel,0
2017,Térajoules,Nunavut,Hydroélectricité,Total industriel,0
2018,Térajoules,Nunavut,Hydroélectricité,Total industriel,0
2019,Térajoules,Nunavut,Hydroélectricité,Total industriel,3
2015,Térajoules,Nunavut,Hydroélectricité,Résidentiel,241
2016,Térajoules,Nunavut,Hydroélectricité,Résidentiel,240
2017,Térajoules,Nunavut,Hydroélectricité,Résidentiel,241
2018,Térajoules,Nunavut,Hydroélectricité,Résidentiel,240
2019,Térajoules,Nunavut,Hydroélectricité,Résidentiel,237
2015,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,8
2016,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,8
2017,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,7
2018,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,4
2019,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,4
2015,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,116
2016,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,378
2017,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,382
2018,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,397
2019,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,397
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,6941
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,6241
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,5728
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,5197
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,4875
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,1536
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,2168
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,2057
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,1726
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,1542
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,4253
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2780
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2472
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2446
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2379
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,138
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,192
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,184
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,146
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,129
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,422
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,478
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,440
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,380
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,355
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,592
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,625
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,576
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,500
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,469
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Consommation énergétique finale,0.49
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Total industriel,0.26
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Total transport,0.12
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Agriculture,0.02
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Résidentiel,0.05
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Administrations publiques,0
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Commerces et autres institutions,0.04
2015,Par habitant,Alberta,Total charbon,Consommation énergétique finale,0
2015,Par habitant,Alberta,Total charbon,Total industriel,0
2015,Par habitant,Alberta,Gaz naturel,Consommation énergétique finale,0.29
2015,Par habitant,Alberta,Gaz naturel,Total industriel,0.21
2015,Par habitant,Alberta,Gaz naturel,Total transport,0.01
2015,Par habitant,Alberta,Gaz naturel,Agriculture,0
2015,Par habitant,Alberta,Gaz naturel,Résidentiel,0.04
2015,Par habitant,Alberta,Gaz naturel,Administrations publiques,0
2015,Par habitant,Alberta,Gaz naturel,Commerces et autres institutions,0.02
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0.01
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2015,Par habitant,Alberta,Hydroélectricité,Consommation énergétique finale,0.05
2015,Par habitant,Alberta,Hydroélectricité,Total industriel,0.02
2015,Par habitant,Alberta,Hydroélectricité,Total transport,0
2015,Par habitant,Alberta,Hydroélectricité,Agriculture,0
2015,Par habitant,Alberta,Hydroélectricité,Résidentiel,0.01
2015,Par habitant,Alberta,Hydroélectricité,Administrations publiques,0
