Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2016,Alberta,Total refined petroleum products,Public administration,Terajoules,7404.0
2017,Alberta,Total refined petroleum products,Public administration,Terajoules,8174.0
2018,Alberta,Total refined petroleum products,Public administration,Terajoules,7527.0
2019,Alberta,Total refined petroleum products,Public administration,Terajoules,7761.0
2015,Alberta,Total refined petroleum products,Commercial and other institutional,Terajoules,10955.0
2016,Alberta,Total refined petroleum products,Commercial and other institutional,Terajoules,11673.0
2017,Alberta,Total refined petroleum products,Commercial and other institutional,Terajoules,13750.0
2018,Alberta,Total refined petroleum products,Commercial and other institutional,Terajoules,9621.0
2019,Alberta,Total refined petroleum products,Commercial and other institutional,Terajoules,12664.0
2015,British Columbia,Total primary and secondary energy,"Energy use, final demand",Terajoules,841660.0
2016,British Columbia,Total primary and secondary energy,"Energy use, final demand",Terajoules,890481.0
2017,British Columbia,Total primary and secondary energy,"Energy use, final demand",Terajoules,
2018,British Columbia,Total primary and secondary energy,"Energy use, final demand",Terajoules,981115.0
2019,British Columbia,Total primary and secondary energy,"Energy use, final demand",Terajoules,987616.0
2015,British Columbia,Total primary and secondary energy,Total industrial,Terajoules,218038.0
2016,British Columbia,Total primary and secondary energy,Total industrial,Terajoules,247887.0
2017,British Columbia,Total primary and secondary energy,Total industrial,Terajoules,258808.0
2018,British Columbia,Total primary and secondary energy,Total industrial,Terajoules,270207.0
2019,British Columbia,Total primary and secondary energy,Total industrial,Terajoules,267012.0
2015,British Columbia,Total primary and secondary energy,Total transportation,Terajoules,345429.0
2016,British Columbia,Total primary and secondary energy,Total transportation,Terajoules,357584.0
2017,British Columbia,Total primary and secondary energy,Total transportation,Terajoules,368695.0
2018,British Columbia,Total primary and secondary energy,Total transportation,Terajoules,400947.0
2019,British Columbia,Total primary and secondary energy,Total transportation,Terajoules,405328.0
2015,British Columbia,Total primary and secondary energy,Agriculture,Terajoules,25689.0
2016,British Columbia,Total primary and secondary energy,Agriculture,Terajoules,29890.0
2017,British Columbia,Total primary and secondary energy,Agriculture,Terajoules,30193.0
2018,British Columbia,Total primary and secondary energy,Agriculture,Terajoules,32940.0
2019,British Columbia,Total primary and secondary energy,Agriculture,Terajoules,31508.0
2015,British Columbia,Total primary and secondary energy,Residential,Terajoules,140134.0
2016,British Columbia,Total primary and secondary energy,Residential,Terajoules,141206.0
2017,British Columbia,Total primary and secondary energy,Residential,Terajoules,155176.0
2018,British Columbia,Total primary and secondary energy,Residential,Terajoules,149380.0
2019,British Columbia,Total primary and secondary energy,Residential,Terajoules,152396.0
2015,British Columbia,Total primary and secondary energy,Public administration,Terajoules,9541.0
2016,British Columbia,Total primary and secondary energy,Public administration,Terajoules,9273.0
2017,British Columbia,Total primary and secondary energy,Public administration,Terajoules,9803.0
2018,British Columbia,Total primary and secondary energy,Public administration,Terajoules,9203.0
2019,British Columbia,Total primary and secondary energy,Public administration,Terajoules,9693.0
2015,British Columbia,Total primary and secondary energy,Commercial and other institutional,Terajoules,102892.0
2016,British Columbia,Total primary and secondary energy,Commercial and other institutional,Terajoules,104642.0
2017,British Columbia,Total primary and secondary energy,Commercial and other institutional,Terajoules,117051.0
2018,British Columbia,Total primary and secondary energy,Commercial and other institutional,Terajoules,118438.0
2019,British Columbia,Total primary and secondary energy,Commercial and other institutional,Terajoules,121678.0
2015,British Columbia,Total coal,"Energy use, final demand",Terajoules,6099.0
2016,British Columbia,Total coal,"Energy use, final demand",Terajoules,
2017,British Columbia,Total coal,"Energy use, final demand",Terajoules,
2018,British Columbia,Total coal,"Energy use, final demand",Terajoules,5363.0
2019,British Columbia,Total coal,"Energy use, final demand",Terajoules,6223.0
2015,British Columbia,Total coal,Total industrial,Terajoules,6099.0
2016,British Columbia,Total coal,Total industrial,Terajoules,
2017,British Columbia,Total coal,Total industrial,Terajoules,
2018,British Columbia,Total coal,Total industrial,Terajoules,5363.0
2019,British Columbia,Total coal,Total industrial,Terajoules,6223.0
2015,British Columbia,Total coal,Residential,Terajoules,
2016,British Columbia,Total coal,Residential,Terajoules,
2015,British Columbia,Total coal,Commercial and other institutional,Terajoules,
2016,British Columbia,Total coal,Commercial and other institutional,Terajoules,
2017,British Columbia,Total coal,Commercial and other institutional,Terajoules,0.0
2018,British Columbia,Total coal,Commercial and other institutional,Terajoules,0.0
2019,British Columbia,Total coal,Commercial and other institutional,Terajoules,0.0
2015,British Columbia,Natural gas,"Energy use, final demand",Terajoules,235877.0
2016,British Columbia,Natural gas,"Energy use, final demand",Terajoules,254032.0
2017,British Columbia,Natural gas,"Energy use, final demand",Terajoules,269738.0
2018,British Columbia,Natural gas,"Energy use, final demand",Terajoules,269925.0
2019,British Columbia,Natural gas,"Energy use, final demand",Terajoules,271301.0
2015,British Columbia,Natural gas,Total industrial,Terajoules,84693.0
2016,British Columbia,Natural gas,Total industrial,Terajoules,96072.0
2017,British Columbia,Natural gas,Total industrial,Terajoules,96429.0
2018,British Columbia,Natural gas,Total industrial,Terajoules,104311.0
2019,British Columbia,Natural gas,Total industrial,Terajoules,100758.0
2015,British Columbia,Natural gas,Total transportation,Terajoules,26104.0
2016,British Columbia,Natural gas,Total transportation,Terajoules,28820.0
2017,British Columbia,Natural gas,Total transportation,Terajoules,28303.0
2018,British Columbia,Natural gas,Total transportation,Terajoules,26566.0
2019,British Columbia,Natural gas,Total transportation,Terajoules,27109.0
2015,British Columbia,Natural gas,Agriculture,Terajoules,7796.0
2016,British Columbia,Natural gas,Agriculture,Terajoules,10941.0
2017,British Columbia,Natural gas,Agriculture,Terajoules,10964.0
2018,British Columbia,Natural gas,Agriculture,Terajoules,11795.0
2019,British Columbia,Natural gas,Agriculture,Terajoules,11233.0
2015,British Columbia,Natural gas,Residential,Terajoules,72877.0
2016,British Columbia,Natural gas,Residential,Terajoules,73223.0
2017,British Columbia,Natural gas,Residential,Terajoules,81813.0
2018,British Columbia,Natural gas,Residential,Terajoules,77845.0
2019,British Columbia,Natural gas,Residential,Terajoules,79542.0
2015,British Columbia,Natural gas,Public administration,Terajoules,2336.0
2016,British Columbia,Natural gas,Public administration,Terajoules,2365.0
2017,British Columbia,Natural gas,Public administration,Terajoules,2740.0
2018,British Columbia,Natural gas,Public administration,Terajoules,2597.0
2019,British Columbia,Natural gas,Public administration,Terajoules,2768.0
2015,British Columbia,Natural gas,Commercial and other institutional,Terajoules,42071.0
2016,British Columbia,Natural gas,Commercial and other institutional,Terajoules,42611.0
2017,British Columbia,Natural gas,Commercial and other institutional,Terajoules,49489.0
2018,British Columbia,Natural gas,Commercial and other institutional,Terajoules,46810.0
2019,British Columbia,Natural gas,Commercial and other institutional,Terajoules,49890.0
2015,British Columbia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,7000.0
2016,British Columbia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,5974.0
2017,British Columbia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,6534.0
2018,British Columbia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,10203.0
2019,British Columbia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,9582.0
2015,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,1624.0
2016,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,1423.0
2017,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,1661.0
2018,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,2246.0
2019,British Columbia,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,2082.0
2015,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,2838.0
2016,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,2374.0
2017,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,2525.0
2018,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,4122.0
2019,British Columbia,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,3885.0
2015,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,134.0
2016,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,111.0
2017,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,117.0
2018,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,192.0
2019,British Columbia,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,181.0
2015,British Columbia,Gas plant natural gas liquids (NGL's),Residential,Terajoules,843.0
2016,British Columbia,Gas plant natural gas liquids (NGL's),Residential,Terajoules,706.0
2017,British Columbia,Gas plant natural gas liquids (NGL's),Residential,Terajoules,763.0
2018,British Columbia,Gas plant natural gas liquids (NGL's),Residential,Terajoules,1246.0
2019,British Columbia,Gas plant natural gas liquids (NGL's),Residential,Terajoules,1175.0
2015,British Columbia,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,British Columbia,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1624.0
2016,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1359.0
2017,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1468.0
2018,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,2396.0
2019,British Columbia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,2259.0
2015,British Columbia,Hydroelectricity,"Energy use, final demand",Terajoules,206311.0
2016,British Columbia,Hydroelectricity,"Energy use, final demand",Terajoules,221839.0
2017,British Columbia,Hydroelectricity,"Energy use, final demand",Terajoules,233388.0
2018,British Columbia,Hydroelectricity,"Energy use, final demand",Terajoules,229779.0
2019,British Columbia,Hydroelectricity,"Energy use, final demand",Terajoules,234247.0
2015,British Columbia,Hydroelectricity,Total industrial,Terajoules,76656.0
2016,British Columbia,Hydroelectricity,Total industrial,Terajoules,91257.0
2017,British Columbia,Hydroelectricity,Total industrial,Terajoules,95993.0
2018,British Columbia,Hydroelectricity,Total industrial,Terajoules,93166.0
2019,British Columbia,Hydroelectricity,Total industrial,Terajoules,94903.0
2015,British Columbia,Hydroelectricity,Total transportation,Terajoules,2256.0
2016,British Columbia,Hydroelectricity,Total transportation,Terajoules,2342.0
2017,British Columbia,Hydroelectricity,Total transportation,Terajoules,1966.0
2018,British Columbia,Hydroelectricity,Total transportation,Terajoules,2235.0
2019,British Columbia,Hydroelectricity,Total transportation,Terajoules,2249.0
2015,British Columbia,Hydroelectricity,Agriculture,Terajoules,3299.0
2016,British Columbia,Hydroelectricity,Agriculture,Terajoules,3242.0
2017,British Columbia,Hydroelectricity,Agriculture,Terajoules,3524.0
2018,British Columbia,Hydroelectricity,Agriculture,Terajoules,3381.0
2019,British Columbia,Hydroelectricity,Agriculture,Terajoules,3463.0
2015,British Columbia,Hydroelectricity,Residential,Terajoules,66203.0
2016,British Columbia,Hydroelectricity,Residential,Terajoules,66977.0
2017,British Columbia,Hydroelectricity,Residential,Terajoules,72384.0
2018,British Columbia,Hydroelectricity,Residential,Terajoules,69962.0
2019,British Columbia,Hydroelectricity,Residential,Terajoules,71550.0
2015,British Columbia,Hydroelectricity,Public administration,Terajoules,4068.0
2016,British Columbia,Hydroelectricity,Public administration,Terajoules,4001.0
2017,British Columbia,Hydroelectricity,Public administration,Terajoules,4083.0
2018,British Columbia,Hydroelectricity,Public administration,Terajoules,4139.0
2019,British Columbia,Hydroelectricity,Public administration,Terajoules,4193.0
2015,British Columbia,Hydroelectricity,Commercial and other institutional,Terajoules,53828.0
2016,British Columbia,Hydroelectricity,Commercial and other institutional,Terajoules,54021.0
2017,British Columbia,Hydroelectricity,Commercial and other institutional,Terajoules,55439.0
2018,British Columbia,Hydroelectricity,Commercial and other institutional,Terajoules,56897.0
2019,British Columbia,Hydroelectricity,Commercial and other institutional,Terajoules,57890.0
2015,British Columbia,Steam,"Energy use, final demand",Terajoules,
2016,British Columbia,Steam,"Energy use, final demand",Terajoules,
2017,British Columbia,Steam,"Energy use, final demand",Terajoules,
2018,British Columbia,Steam,"Energy use, final demand",Terajoules,101.0
2019,British Columbia,Steam,"Energy use, final demand",Terajoules,110.0
2015,British Columbia,Steam,Total industrial,Terajoules,
2016,British Columbia,Steam,Total industrial,Terajoules,
2017,British Columbia,Steam,Total industrial,Terajoules,103.0
2018,British Columbia,Steam,Total industrial,Terajoules,101.0
2019,British Columbia,Steam,Total industrial,Terajoules,110.0
2015,British Columbia,Coke,"Energy use, final demand",Terajoules,
2016,British Columbia,Coke,"Energy use, final demand",Terajoules,
2017,British Columbia,Coke,"Energy use, final demand",Terajoules,
2018,British Columbia,Coke,"Energy use, final demand",Terajoules,362.0
2019,British Columbia,Coke,"Energy use, final demand",Terajoules,362.0
2015,British Columbia,Coke,Total industrial,Terajoules,
2016,British Columbia,Coke,Total industrial,Terajoules,
2017,British Columbia,Coke,Total industrial,Terajoules,
2018,British Columbia,Coke,Total industrial,Terajoules,362.0
2019,British Columbia,Coke,Total industrial,Terajoules,362.0
2015,British Columbia,Coke oven gas,"Energy use, final demand",Terajoules,0.0
2016,British Columbia,Coke oven gas,"Energy use, final demand",Terajoules,0.0
2017,British Columbia,Coke oven gas,"Energy use, final demand",Terajoules,0.0
2018,British Columbia,Coke oven gas,"Energy use, final demand",Terajoules,0.0
2019,British Columbia,Coke oven gas,"Energy use, final demand",Terajoules,0.0
2015,British Columbia,Coke oven gas,Total industrial,Terajoules,0.0
2016,British Columbia,Coke oven gas,Total industrial,Terajoules,0.0
2017,British Columbia,Coke oven gas,Total industrial,Terajoules,0.0
2018,British Columbia,Coke oven gas,Total industrial,Terajoules,0.0
2019,British Columbia,Coke oven gas,Total industrial,Terajoules,0.0
2015,British Columbia,Total refined petroleum products,"Energy use, final demand",Terajoules,385790.0
2016,British Columbia,Total refined petroleum products,"Energy use, final demand",Terajoules,402128.0
2017,British Columbia,Total refined petroleum products,"Energy use, final demand",Terajoules,423688.0
2018,British Columbia,Total refined petroleum products,"Energy use, final demand",Terajoules,465383.0
2019,British Columbia,Total refined petroleum products,"Energy use, final demand",Terajoules,465792.0
2015,British Columbia,Total refined petroleum products,Total industrial,Terajoules,48385.0
2016,British Columbia,Total refined petroleum products,Total industrial,Terajoules,52625.0
2017,British Columbia,Total refined petroleum products,Total industrial,Terajoules,58348.0
2018,British Columbia,Total refined petroleum products,Total industrial,Terajoules,64657.0
2019,British Columbia,Total refined petroleum products,Total industrial,Terajoules,62575.0
2015,British Columbia,Total refined petroleum products,Total transportation,Terajoules,314230.0
2016,British Columbia,Total refined petroleum products,Total transportation,Terajoules,324047.0
2017,British Columbia,Total refined petroleum products,Total transportation,Terajoules,335902.0
2018,British Columbia,Total refined petroleum products,Total transportation,Terajoules,368025.0
2019,British Columbia,Total refined petroleum products,Total transportation,Terajoules,372085.0
2015,British Columbia,Total refined petroleum products,Agriculture,Terajoules,14460.0
2016,British Columbia,Total refined petroleum products,Agriculture,Terajoules,15596.0
2017,British Columbia,Total refined petroleum products,Agriculture,Terajoules,15588.0
2018,British Columbia,Total refined petroleum products,Agriculture,Terajoules,17572.0
2019,British Columbia,Total refined petroleum products,Agriculture,Terajoules,16631.0
2015,British Columbia,Total refined petroleum products,Residential,Terajoules,210.0
2016,British Columbia,Total refined petroleum products,Residential,Terajoules,301.0
2017,British Columbia,Total refined petroleum products,Residential,Terajoules,215.0
2018,British Columbia,Total refined petroleum products,Residential,Terajoules,327.0
2019,British Columbia,Total refined petroleum products,Residential,Terajoules,130.0
2015,British Columbia,Total refined petroleum products,Public administration,Terajoules,3137.0
2016,British Columbia,Total refined petroleum products,Public administration,Terajoules,2908.0
2017,British Columbia,Total refined petroleum products,Public administration,Terajoules,2980.0
2018,British Columbia,Total refined petroleum products,Public administration,Terajoules,2467.0
2019,British Columbia,Total refined petroleum products,Public administration,Terajoules,2732.0
2015,British Columbia,Total refined petroleum products,Commercial and other institutional,Terajoules,5369.0
2016,British Columbia,Total refined petroleum products,Commercial and other institutional,Terajoules,6651.0
2017,British Columbia,Total refined petroleum products,Commercial and other institutional,Terajoules,10655.0
2018,British Columbia,Total refined petroleum products,Commercial and other institutional,Terajoules,12335.0
2019,British Columbia,Total refined petroleum products,Commercial and other institutional,Terajoules,11640.0
2015,Yukon,Total primary and secondary energy,"Energy use, final demand",Terajoules,8010.0
2016,Yukon,Total primary and secondary energy,"Energy use, final demand",Terajoules,8110.0
2017,Yukon,Total primary and secondary energy,"Energy use, final demand",Terajoules,8326.0
2018,Yukon,Total primary and secondary energy,"Energy use, final demand",Terajoules,9677.0
2019,Yukon,Total primary and secondary energy,"Energy use, final demand",Terajoules,9936.0
2015,Yukon,Total primary and secondary energy,Total industrial,Terajoules,1587.0
2016,Yukon,Total primary and secondary energy,Total industrial,Terajoules,1576.0
2017,Yukon,Total primary and secondary energy,Total industrial,Terajoules,2001.0
2018,Yukon,Total primary and secondary energy,Total industrial,Terajoules,2505.0
2019,Yukon,Total primary and secondary energy,Total industrial,Terajoules,2777.0
2015,Yukon,Total primary and secondary energy,Total transportation,Terajoules,4444.0
2016,Yukon,Total primary and secondary energy,Total transportation,Terajoules,4554.0
2017,Yukon,Total primary and secondary energy,Total transportation,Terajoules,4393.0
2018,Yukon,Total primary and secondary energy,Total transportation,Terajoules,5097.0
2019,Yukon,Total primary and secondary energy,Total transportation,Terajoules,5115.0
2015,Yukon,Total primary and secondary energy,Agriculture,Terajoules,0.0
2016,Yukon,Total primary and secondary energy,Agriculture,Terajoules,1.0
2017,Yukon,Total primary and secondary energy,Agriculture,Terajoules,0.0
2018,Yukon,Total primary and secondary energy,Agriculture,Terajoules,13.0
2019,Yukon,Total primary and secondary energy,Agriculture,Terajoules,0.0
2015,Yukon,Total primary and secondary energy,Residential,Terajoules,660.0
2016,Yukon,Total primary and secondary energy,Residential,Terajoules,684.0
2017,Yukon,Total primary and secondary energy,Residential,Terajoules,758.0
2018,Yukon,Total primary and secondary energy,Residential,Terajoules,752.0
2019,Yukon,Total primary and secondary energy,Residential,Terajoules,766.0
2015,Yukon,Total primary and secondary energy,Public administration,Terajoules,177.0
2016,Yukon,Total primary and secondary energy,Public administration,Terajoules,87.0
2017,Yukon,Total primary and secondary energy,Public administration,Terajoules,157.0
2018,Yukon,Total primary and secondary energy,Public administration,Terajoules,149.0
2019,Yukon,Total primary and secondary energy,Public administration,Terajoules,173.0
2015,Yukon,Total primary and secondary energy,Commercial and other institutional,Terajoules,1143.0
2016,Yukon,Total primary and secondary energy,Commercial and other institutional,Terajoules,1209.0
2017,Yukon,Total primary and secondary energy,Commercial and other institutional,Terajoules,1015.0
2018,Yukon,Total primary and secondary energy,Commercial and other institutional,Terajoules,1158.0
2019,Yukon,Total primary and secondary energy,Commercial and other institutional,Terajoules,1099.0
2015,Yukon,Natural gas,"Energy use, final demand",Terajoules,0.0
2016,Yukon,Natural gas,"Energy use, final demand",Terajoules,0.0
2017,Yukon,Natural gas,"Energy use, final demand",Terajoules,0.0
2018,Yukon,Natural gas,"Energy use, final demand",Terajoules,0.0
2019,Yukon,Natural gas,"Energy use, final demand",Terajoules,0.0
2015,Yukon,Natural gas,Total industrial,Terajoules,0.0
2016,Yukon,Natural gas,Total industrial,Terajoules,0.0
2017,Yukon,Natural gas,Total industrial,Terajoules,0.0
2018,Yukon,Natural gas,Total industrial,Terajoules,0.0
2019,Yukon,Natural gas,Total industrial,Terajoules,0.0
2015,Yukon,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,273.0
2016,Yukon,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,252.0
2017,Yukon,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,315.0
2018,Yukon,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,385.0
2019,Yukon,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,495.0
2015,Yukon,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,75.0
2016,Yukon,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,69.0
2017,Yukon,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,85.0
2018,Yukon,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,104.0
2019,Yukon,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,134.0
2015,Yukon,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,28.0
2016,Yukon,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,26.0
2017,Yukon,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,31.0
2018,Yukon,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,38.0
2019,Yukon,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,49.0
2015,Yukon,Gas plant natural gas liquids (NGL's),Residential,Terajoules,55.0
2016,Yukon,Gas plant natural gas liquids (NGL's),Residential,Terajoules,50.0
2017,Yukon,Gas plant natural gas liquids (NGL's),Residential,Terajoules,63.0
2018,Yukon,Gas plant natural gas liquids (NGL's),Residential,Terajoules,77.0
2019,Yukon,Gas plant natural gas liquids (NGL's),Residential,Terajoules,99.0
2015,Yukon,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Yukon,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Yukon,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,115.0
2016,Yukon,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,106.0
2017,Yukon,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,132.0
2018,Yukon,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,162.0
2019,Yukon,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,208.0
2015,Yukon,Hydroelectricity,"Energy use, final demand",Terajoules,1419.0
2016,Yukon,Hydroelectricity,"Energy use, final demand",Terajoules,1437.0
2017,Yukon,Hydroelectricity,"Energy use, final demand",Terajoules,1550.0
2018,Yukon,Hydroelectricity,"Energy use, final demand",Terajoules,1518.0
2019,Yukon,Hydroelectricity,"Energy use, final demand",Terajoules,1525.0
2015,Yukon,Hydroelectricity,Total industrial,Terajoules,136.0
2016,Yukon,Hydroelectricity,Total industrial,Terajoules,150.0
2017,Yukon,Hydroelectricity,Total industrial,Terajoules,159.0
2018,Yukon,Hydroelectricity,Total industrial,Terajoules,134.0
2019,Yukon,Hydroelectricity,Total industrial,Terajoules,139.0
2015,Yukon,Hydroelectricity,Residential,Terajoules,587.0
2016,Yukon,Hydroelectricity,Residential,Terajoules,593.0
2017,Yukon,Hydroelectricity,Residential,Terajoules,650.0
2018,Yukon,Hydroelectricity,Residential,Terajoules,660.0
2019,Yukon,Hydroelectricity,Residential,Terajoules,655.0
2015,Yukon,Hydroelectricity,Public administration,Terajoules,17.0
2016,Yukon,Hydroelectricity,Public administration,Terajoules,17.0
2017,Yukon,Hydroelectricity,Public administration,Terajoules,17.0
2018,Yukon,Hydroelectricity,Public administration,Terajoules,17.0
2019,Yukon,Hydroelectricity,Public administration,Terajoules,16.0
2015,Yukon,Hydroelectricity,Commercial and other institutional,Terajoules,679.0
2016,Yukon,Hydroelectricity,Commercial and other institutional,Terajoules,677.0
2017,Yukon,Hydroelectricity,Commercial and other institutional,Terajoules,724.0
2018,Yukon,Hydroelectricity,Commercial and other institutional,Terajoules,707.0
2019,Yukon,Hydroelectricity,Commercial and other institutional,Terajoules,715.0
2015,Yukon,Total refined petroleum products,"Energy use, final demand",Terajoules,6318.0
2016,Yukon,Total refined petroleum products,"Energy use, final demand",Terajoules,6421.0
2017,Yukon,Total refined petroleum products,"Energy use, final demand",Terajoules,6462.0
2018,Yukon,Total refined petroleum products,"Energy use, final demand",Terajoules,7774.0
2019,Yukon,Total refined petroleum products,"Energy use, final demand",Terajoules,7916.0
2015,Yukon,Total refined petroleum products,Total industrial,Terajoules,1376.0
2016,Yukon,Total refined petroleum products,Total industrial,Terajoules,1356.0
2017,Yukon,Total refined petroleum products,Total industrial,Terajoules,1757.0
2018,Yukon,Total refined petroleum products,Total industrial,Terajoules,2266.0
2019,Yukon,Total refined petroleum products,Total industrial,Terajoules,2504.0
2015,Yukon,Total refined petroleum products,Total transportation,Terajoules,4415.0
2016,Yukon,Total refined petroleum products,Total transportation,Terajoules,4528.0
2017,Yukon,Total refined petroleum products,Total transportation,Terajoules,4361.0
2018,Yukon,Total refined petroleum products,Total transportation,Terajoules,5058.0
2019,Yukon,Total refined petroleum products,Total transportation,Terajoules,5066.0
2015,Yukon,Total refined petroleum products,Agriculture,Terajoules,0.0
2016,Yukon,Total refined petroleum products,Agriculture,Terajoules,1.0
2017,Yukon,Total refined petroleum products,Agriculture,Terajoules,0.0
2018,Yukon,Total refined petroleum products,Agriculture,Terajoules,13.0
2019,Yukon,Total refined petroleum products,Agriculture,Terajoules,0.0
2015,Yukon,Total refined petroleum products,Residential,Terajoules,18.0
2016,Yukon,Total refined petroleum products,Residential,Terajoules,40.0
2017,Yukon,Total refined petroleum products,Residential,Terajoules,45.0
2018,Yukon,Total refined petroleum products,Residential,Terajoules,15.0
2019,Yukon,Total refined petroleum products,Residential,Terajoules,13.0
2015,Yukon,Total refined petroleum products,Public administration,Terajoules,160.0
2016,Yukon,Total refined petroleum products,Public administration,Terajoules,70.0
2017,Yukon,Total refined petroleum products,Public administration,Terajoules,140.0
2018,Yukon,Total refined petroleum products,Public administration,Terajoules,132.0
2019,Yukon,Total refined petroleum products,Public administration,Terajoules,157.0
2015,Yukon,Total refined petroleum products,Commercial and other institutional,Terajoules,348.0
2016,Yukon,Total refined petroleum products,Commercial and other institutional,Terajoules,425.0
2017,Yukon,Total refined petroleum products,Commercial and other institutional,Terajoules,160.0
2018,Yukon,Total refined petroleum products,Commercial and other institutional,Terajoules,289.0
2019,Yukon,Total refined petroleum products,Commercial and other institutional,Terajoules,177.0
2015,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Terajoules,20970.0
2016,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Terajoules,20168.0
2017,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Terajoules,15670.0
2018,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Terajoules,16650.0
2019,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Terajoules,15618.0
2015,Northwest Territories,Total primary and secondary energy,Total industrial,Terajoules,8494.0
2016,Northwest Territories,Total primary and secondary energy,Total industrial,Terajoules,6707.0
2017,Northwest Territories,Total primary and secondary energy,Total industrial,Terajoules,5738.0
2018,Northwest Territories,Total primary and secondary energy,Total industrial,Terajoules,5727.0
2019,Northwest Territories,Total primary and secondary energy,Total industrial,Terajoules,5687.0
2015,Northwest Territories,Total primary and secondary energy,Total transportation,Terajoules,5862.0
2016,Northwest Territories,Total primary and secondary energy,Total transportation,Terajoules,6581.0
2017,Northwest Territories,Total primary and secondary energy,Total transportation,Terajoules,5519.0
2018,Northwest Territories,Total primary and secondary energy,Total transportation,Terajoules,5295.0
2019,Northwest Territories,Total primary and secondary energy,Total transportation,Terajoules,5367.0
2015,Northwest Territories,Total primary and secondary energy,Agriculture,Terajoules,0.0
2016,Northwest Territories,Total primary and secondary energy,Agriculture,Terajoules,0.0
2017,Northwest Territories,Total primary and secondary energy,Agriculture,Terajoules,0.0
2018,Northwest Territories,Total primary and secondary energy,Agriculture,Terajoules,0.0
2019,Northwest Territories,Total primary and secondary energy,Agriculture,Terajoules,0.0
2015,Northwest Territories,Total primary and secondary energy,Residential,Terajoules,1776.0
2016,Northwest Territories,Total primary and secondary energy,Residential,Terajoules,1399.0
2017,Northwest Territories,Total primary and secondary energy,Residential,Terajoules,1081.0
