Year,Units,data.Geography,data.Offences,data.Age of accused,data.Sex of accused,GeoCode,Value
2021/2022,data.Adult criminal courts,data.British Columbia,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",59,0
2021/2022,data.Adult criminal courts,data.British Columbia,data.Criminal Code traffic,data.Age not applicable,data.Company,59,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,"data.Total, age of accused","data.Total, sex of accused",60,183
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,"data.Total, age of accused",data.Males,60,176
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,"data.Total, age of accused",data.Females,60,200
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,"data.Total, age of accused",data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,"data.Total, age of accused",data.Sex unknown,60,261
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.18 to 24 years,"data.Total, sex of accused",60,246
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.18 to 24 years,data.Males,60,250
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.18 to 24 years,data.Females,60,285
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.18 to 24 years,data.Sex unknown,60,120
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.25 to 34 years,"data.Total, sex of accused",60,164
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.25 to 34 years,data.Males,60,149
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.25 to 34 years,data.Females,60,187
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.25 to 34 years,data.Sex unknown,60,154
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.35 to 44 years,"data.Total, sex of accused",60,181
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.35 to 44 years,data.Males,60,160
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.35 to 44 years,data.Females,60,217
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.35 to 44 years,data.Sex unknown,60,391
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.45 to 54 years,"data.Total, sex of accused",60,196
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.45 to 54 years,data.Males,60,188
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.45 to 54 years,data.Females,60,236
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.45 to 54 years,data.Sex unknown,60,400
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.55 years and over,"data.Total, sex of accused",60,176
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.55 years and over,data.Males,60,184
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.55 years and over,data.Females,60,33
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.55 years and over,data.Sex unknown,60,427
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.Other ages,"data.Total, sex of accused",60,100
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.Other ages,data.Males,60,78
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.Other ages,data.Females,60,195
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.Other ages,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.Age not applicable,"data.Total, sex of accused",60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total offences,data.Age not applicable,data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",60,176
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,"data.Total, age of accused",data.Males,60,165
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,"data.Total, age of accused",data.Females,60,193
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,"data.Total, age of accused",data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,60,360
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.18 to 24 years,"data.Total, sex of accused",60,231
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.18 to 24 years,data.Males,60,224
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.18 to 24 years,data.Females,60,285
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,60,79
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.25 to 34 years,"data.Total, sex of accused",60,152
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.25 to 34 years,data.Males,60,143
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.25 to 34 years,data.Females,60,183
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.25 to 34 years,data.Sex unknown,60,154
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.35 to 44 years,"data.Total, sex of accused",60,170
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.35 to 44 years,data.Males,60,150
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.35 to 44 years,data.Females,60,198
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.35 to 44 years,data.Sex unknown,60,422
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.45 to 54 years,"data.Total, sex of accused",60,195
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.45 to 54 years,data.Males,60,185
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.45 to 54 years,data.Females,60,236
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.45 to 54 years,data.Sex unknown,60,400
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.55 years and over,"data.Total, sex of accused",60,176
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.55 years and over,data.Males,60,180
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.55 years and over,data.Females,60,33
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.55 years and over,data.Sex unknown,60,427
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",60,108
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.Other ages,data.Males,60,78
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.Other ages,data.Females,60,260
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.Other ages,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Total Criminal Code,data.Age not applicable,data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",60,190
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,"data.Total, age of accused",data.Males,60,183
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,"data.Total, age of accused",data.Females,60,183
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,"data.Total, age of accused",data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,"data.Total, age of accused",data.Sex unknown,60,366
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.18 to 24 years,"data.Total, sex of accused",60,279
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.18 to 24 years,data.Males,60,237
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.18 to 24 years,data.Females,60,309
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.25 to 34 years,"data.Total, sex of accused",60,183
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.25 to 34 years,data.Males,60,220
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.25 to 34 years,data.Females,60,183
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.25 to 34 years,data.Sex unknown,60,106
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.35 to 44 years,"data.Total, sex of accused",60,159
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.35 to 44 years,data.Males,60,145
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.35 to 44 years,data.Females,60,152
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.35 to 44 years,data.Sex unknown,60,423
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.45 to 54 years,"data.Total, sex of accused",60,202
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.45 to 54 years,data.Males,60,196
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.45 to 54 years,data.Females,60,260
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.45 to 54 years,data.Sex unknown,60,400
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.55 years and over,"data.Total, sex of accused",60,173
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.55 years and over,data.Males,60,184
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.55 years and over,data.Females,60,64
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.55 years and over,data.Sex unknown,60,205
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.Other ages,"data.Total, sex of accused",60,184
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.Other ages,data.Males,60,127
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.Other ages,data.Females,60,400
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.Other ages,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.Age not applicable,"data.Total, sex of accused",60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against the person,data.Age not applicable,data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,"data.Total, age of accused","data.Total, sex of accused",60,180
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,"data.Total, age of accused",data.Males,60,161
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,"data.Total, age of accused",data.Females,60,246
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,"data.Total, age of accused",data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,"data.Total, age of accused",data.Sex unknown,60,215
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.18 to 24 years,"data.Total, sex of accused",60,243
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.18 to 24 years,data.Males,60,238
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.18 to 24 years,data.Females,60,258
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.18 to 24 years,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.25 to 34 years,"data.Total, sex of accused",60,124
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.25 to 34 years,data.Males,60,127
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.25 to 34 years,data.Females,60,110
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.25 to 34 years,data.Sex unknown,60,261
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.35 to 44 years,"data.Total, sex of accused",60,253
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.35 to 44 years,data.Males,60,154
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.35 to 44 years,data.Females,60,275
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.35 to 44 years,data.Sex unknown,60,169
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.45 to 54 years,"data.Total, sex of accused",60,278
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.45 to 54 years,data.Males,60,278
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.45 to 54 years,data.Females,60,229
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.45 to 54 years,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.55 years and over,"data.Total, sex of accused",60,67
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.55 years and over,data.Males,60,67
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.55 years and over,data.Females,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.55 years and over,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.Other ages,"data.Total, sex of accused",60,321
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.Other ages,data.Males,60,196
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.Other ages,data.Females,60,400
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.Other ages,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.Age not applicable,"data.Total, sex of accused",60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Crimes against property,data.Age not applicable,data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,"data.Total, age of accused","data.Total, sex of accused",60,163
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,"data.Total, age of accused",data.Males,60,150
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,"data.Total, age of accused",data.Females,60,189
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,"data.Total, age of accused",data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,"data.Total, age of accused",data.Sex unknown,60,301
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.18 to 24 years,"data.Total, sex of accused",60,277
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.18 to 24 years,data.Males,60,311
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.18 to 24 years,data.Females,60,183
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.18 to 24 years,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.25 to 34 years,"data.Total, sex of accused",60,243
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.25 to 34 years,data.Males,60,243
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.25 to 34 years,data.Females,60,212
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.25 to 34 years,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.35 to 44 years,"data.Total, sex of accused",60,171
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.35 to 44 years,data.Males,60,180
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.35 to 44 years,data.Females,60,165
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.35 to 44 years,data.Sex unknown,60,113
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.45 to 54 years,"data.Total, sex of accused",60,171
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.45 to 54 years,data.Males,60,165
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.45 to 54 years,data.Females,60,233
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.45 to 54 years,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.55 years and over,"data.Total, sex of accused",60,255
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.55 years and over,data.Males,60,128
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.55 years and over,data.Females,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.55 years and over,data.Sex unknown,60,488
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.Other ages,"data.Total, sex of accused",60,99
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.Other ages,data.Males,60,63
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.Other ages,data.Females,60,172
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.Other ages,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.Age not applicable,"data.Total, sex of accused",60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Administration of justice,data.Age not applicable,data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,"data.Total, age of accused","data.Total, sex of accused",60,153
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,"data.Total, age of accused",data.Males,60,157
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,"data.Total, age of accused",data.Females,60,128
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,"data.Total, age of accused",data.Company,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,"data.Total, age of accused",data.Sex unknown,60,120
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.18 to 24 years,"data.Total, sex of accused",60,92
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.18 to 24 years,data.Males,60,91
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.18 to 24 years,data.Females,60,92
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.18 to 24 years,data.Sex unknown,60,79
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.25 to 34 years,"data.Total, sex of accused",60,143
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.25 to 34 years,data.Males,60,133
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.25 to 34 years,data.Females,60,249
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.25 to 34 years,data.Sex unknown,60,228
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.35 to 44 years,"data.Total, sex of accused",60,200
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.35 to 44 years,data.Males,60,180
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.35 to 44 years,data.Females,60,232
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.35 to 44 years,data.Sex unknown,60,421
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.45 to 54 years,"data.Total, sex of accused",60,174
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.45 to 54 years,data.Males,60,204
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.45 to 54 years,data.Females,60,22
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.45 to 54 years,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.55 years and over,"data.Total, sex of accused",60,176
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.55 years and over,data.Males,60,195
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.55 years and over,data.Females,60,1
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.55 years and over,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.Other ages,"data.Total, sex of accused",60,1
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.Other ages,data.Males,60,1
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.Other ages,data.Females,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.Other ages,data.Sex unknown,60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",60,0
2021/2022,data.Adult criminal courts,data.Yukon,data.Criminal Code traffic,data.Age not applicable,data.Company,60,0
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused","data.Total, sex of accused",61,131
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Males,61,134
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Females,61,106
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Company,61,0
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Sex unknown,61,137
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.18 to 24 years,"data.Total, sex of accused",61,142
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.18 to 24 years,data.Males,61,99
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.18 to 24 years,data.Females,61,176
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.18 to 24 years,data.Sex unknown,61,153
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.25 to 34 years,"data.Total, sex of accused",61,120
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.25 to 34 years,data.Males,61,134
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.25 to 34 years,data.Females,61,83
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.25 to 34 years,data.Sex unknown,61,112
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.35 to 44 years,"data.Total, sex of accused",61,142
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.35 to 44 years,data.Males,61,148
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.35 to 44 years,data.Females,61,113
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.35 to 44 years,data.Sex unknown,61,183
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.45 to 54 years,"data.Total, sex of accused",61,143
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.45 to 54 years,data.Males,61,160
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.45 to 54 years,data.Females,61,85
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.45 to 54 years,data.Sex unknown,61,185
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.55 years and over,"data.Total, sex of accused",61,86
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.55 years and over,data.Males,61,108
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.55 years and over,data.Females,61,50
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.55 years and over,data.Sex unknown,61,61
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.Other ages,"data.Total, sex of accused",61,120
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.Other ages,data.Males,61,106
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.Other ages,data.Females,61,92
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.Other ages,data.Sex unknown,61,131
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.Age not applicable,"data.Total, sex of accused",61,0
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total offences,data.Age not applicable,data.Company,61,0
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",61,131
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Males,61,134
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Females,61,106
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Company,61,0
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,61,137
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.18 to 24 years,"data.Total, sex of accused",61,142
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.18 to 24 years,data.Males,61,99
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.18 to 24 years,data.Females,61,176
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,61,153
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.25 to 34 years,"data.Total, sex of accused",61,120
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.25 to 34 years,data.Males,61,134
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.25 to 34 years,data.Females,61,83
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.25 to 34 years,data.Sex unknown,61,112
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.35 to 44 years,"data.Total, sex of accused",61,140
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.35 to 44 years,data.Males,61,140
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.35 to 44 years,data.Females,61,92
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.35 to 44 years,data.Sex unknown,61,180
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.45 to 54 years,"data.Total, sex of accused",61,155
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.45 to 54 years,data.Males,61,165
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.45 to 54 years,data.Females,61,85
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.45 to 54 years,data.Sex unknown,61,185
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.55 years and over,"data.Total, sex of accused",61,94
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.55 years and over,data.Males,61,108
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.55 years and over,data.Females,61,50
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.55 years and over,data.Sex unknown,61,71
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",61,120
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,data.Males,61,106
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,data.Females,61,92
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,data.Sex unknown,61,131
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",61,0
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Total Criminal Code,data.Age not applicable,data.Company,61,0
2021/2022,data.Adult criminal courts,data.Northwest Territories,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",61,162
