Year,Units,Geography,Offences,Age,Sex,Value
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Females,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Females,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Females,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Females,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Company,0
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Company,0
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Company,0
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Company,0
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Company,0
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Sex unknown,108
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Sex unknown,113
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Sex unknown,126
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Sex unknown,120
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,Total,Sex unknown,126
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Total,103
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Total,93
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Total,95
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Total,115
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Total,100
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Males,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Males,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Males,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Males,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Males,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Females,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Females,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Females,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Females,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Females,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Sex unknown,103
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Sex unknown,93
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Sex unknown,95
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Sex unknown,115
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,18 to 24 years,Sex unknown,100
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Total,113
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Total,106
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Total,120
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Total,113
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Total,117
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Males,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Males,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Males,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Males,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Males,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Females,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Females,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Females,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Females,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Females,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Sex unknown,113
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Sex unknown,106
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Sex unknown,120
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Sex unknown,113
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,25 to 34 years,Sex unknown,117
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Total,108
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Total,141
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Total,134
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Total,123
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Total,147
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Males,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Males,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Males,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Males,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Males,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Females,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Females,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Females,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Females,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Females,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Sex unknown,108
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Sex unknown,141
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Sex unknown,134
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Sex unknown,123
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,35 to 44 years,Sex unknown,147
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Total,127
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Total,130
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Total,131
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Total,125
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Total,137
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Males,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Males,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Males,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Males,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Males,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Females,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Females,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Females,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Females,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Females,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Sex unknown,127
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Sex unknown,130
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Sex unknown,131
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Sex unknown,125
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,45 to 54 years,Sex unknown,137
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Total,85
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Total,104
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Total,148
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Total,170
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Total,127
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Males,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Males,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Males,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Males,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Males,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Females,
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Females,
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Females,
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Females,
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Females,
2014/2015,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Sex unknown,85
2015/2016,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Sex unknown,104
2016/2017,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Sex unknown,148
2017/2018,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Sex unknown,170
2018/2019,Adult criminal courts,Manitoba,Criminal Code traffic,55 years and over,Sex unknown,127
2014/2015,Adult criminal courts,Saskatchewan,Total offences,Total,Total,78
2015/2016,Adult criminal courts,Saskatchewan,Total offences,Total,Total,76
2016/2017,Adult criminal courts,Saskatchewan,Total offences,Total,Total,79
2017/2018,Adult criminal courts,Saskatchewan,Total offences,Total,Total,86
2018/2019,Adult criminal courts,Saskatchewan,Total offences,Total,Total,79
2014/2015,Adult criminal courts,Saskatchewan,Total offences,Total,Males,82
2015/2016,Adult criminal courts,Saskatchewan,Total offences,Total,Males,78
2016/2017,Adult criminal courts,Saskatchewan,Total offences,Total,Males,85
2017/2018,Adult criminal courts,Saskatchewan,Total offences,Total,Males,90
2018/2019,Adult criminal courts,Saskatchewan,Total offences,Total,Males,81
2014/2015,Adult criminal courts,Saskatchewan,Total offences,Total,Females,65
2015/2016,Adult criminal courts,Saskatchewan,Total offences,Total,Females,70
2016/2017,Adult criminal courts,Saskatchewan,Total offences,Total,Females,71
2017/2018,Adult criminal courts,Saskatchewan,Total offences,Total,Females,84
2018/2019,Adult criminal courts,Saskatchewan,Total offences,Total,Females,77
2014/2015,Adult criminal courts,Saskatchewan,Total offences,Total,Company,197
2015/2016,Adult criminal courts,Saskatchewan,Total offences,Total,Company,197
2016/2017,Adult criminal courts,Saskatchewan,Total offences,Total,Company,267
2017/2018,Adult criminal courts,Saskatchewan,Total offences,Total,Company,44
2018/2019,Adult criminal courts,Saskatchewan,Total offences,Total,Company,250
2014/2015,Adult criminal courts,Saskatchewan,Total offences,Total,Sex unknown,51
2015/2016,Adult criminal courts,Saskatchewan,Total offences,Total,Sex unknown,57
2016/2017,Adult criminal courts,Saskatchewan,Total offences,Total,Sex unknown,50
2017/2018,Adult criminal courts,Saskatchewan,Total offences,Total,Sex unknown,57
2018/2019,Adult criminal courts,Saskatchewan,Total offences,Total,Sex unknown,64
2014/2015,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Total,71
2015/2016,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Total,64
2016/2017,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Total,76
2017/2018,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Total,86
2018/2019,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Total,80
2014/2015,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Males,78
2015/2016,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Males,68
2016/2017,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Males,78
2017/2018,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Males,92
2018/2019,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Males,85
2014/2015,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Females,64
2015/2016,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Females,57
2016/2017,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Females,71
2017/2018,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Females,85
2018/2019,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Females,70
2014/2015,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Sex unknown,44
2015/2016,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Sex unknown,64
2016/2017,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Sex unknown,64
2017/2018,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Sex unknown,65
2018/2019,Adult criminal courts,Saskatchewan,Total offences,18 to 24 years,Sex unknown,71
2014/2015,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Total,74
2015/2016,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Total,78
2016/2017,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Total,80
2017/2018,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Total,88
2018/2019,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Total,78
2014/2015,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Males,78
2015/2016,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Males,78
2016/2017,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Males,86
2017/2018,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Males,92
2018/2019,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Males,78
2014/2015,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Females,65
2015/2016,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Females,78
2016/2017,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Females,68
2017/2018,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Females,80
2018/2019,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Females,78
2014/2015,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Sex unknown,57
2015/2016,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Sex unknown,43
2016/2017,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Sex unknown,42
2017/2018,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Sex unknown,44
2018/2019,Adult criminal courts,Saskatchewan,Total offences,25 to 34 years,Sex unknown,63
2014/2015,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Total,85
2015/2016,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Total,85
2016/2017,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Total,80
2017/2018,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Total,80
2018/2019,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Total,79
2014/2015,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Males,87
2015/2016,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Males,91
2016/2017,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Males,85
2017/2018,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Males,80
2018/2019,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Males,85
2014/2015,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Females,78
2015/2016,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Females,73
2016/2017,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Females,73
2017/2018,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Females,85
2018/2019,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Females,71
2014/2015,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Sex unknown,76
2015/2016,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Sex unknown,45
2016/2017,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Sex unknown,44
2017/2018,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Sex unknown,50
2018/2019,Adult criminal courts,Saskatchewan,Total offences,35 to 44 years,Sex unknown,50
2014/2015,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Total,85
2015/2016,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Total,88
2016/2017,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Total,92
2017/2018,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Total,95
2018/2019,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Total,85
2014/2015,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Males,94
2015/2016,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Males,88
2016/2017,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Males,93
2017/2018,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Males,99
2018/2019,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Males,84
2014/2015,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Females,64
2015/2016,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Females,91
2016/2017,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Females,87
2017/2018,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Females,91
2018/2019,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Females,92
2014/2015,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Sex unknown,47
2015/2016,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Sex unknown,54
2016/2017,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Sex unknown,33
2017/2018,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Sex unknown,71
2018/2019,Adult criminal courts,Saskatchewan,Total offences,45 to 54 years,Sex unknown,68
2014/2015,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Total,78
2015/2016,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Total,85
2016/2017,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Total,78
2017/2018,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Total,78
2018/2019,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Total,78
2014/2015,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Males,85
2015/2016,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Males,90
2016/2017,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Males,83
2017/2018,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Males,78
2018/2019,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Males,78
2014/2015,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Females,64
2015/2016,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Females,72
2016/2017,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Females,67
2017/2018,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Females,88
2018/2019,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Females,71
2014/2015,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Sex unknown,55
2015/2016,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Sex unknown,57
2016/2017,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Sex unknown,57
2017/2018,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Sex unknown,30
2018/2019,Adult criminal courts,Saskatchewan,Total offences,55 years and over,Sex unknown,71
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Total,78
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Total,76
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Total,79
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Total,85
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Total,78
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Males,84
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Males,78
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Males,85
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Males,87
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Males,79
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Females,64
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Females,68
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Females,68
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Females,81
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Females,71
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Company,0
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Company,0
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Company,0
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Company,0
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Company,99
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Sex unknown,56
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Sex unknown,57
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Sex unknown,50
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Sex unknown,57
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,Total,Sex unknown,64
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Total,71
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Total,64
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Total,78
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Total,85
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Total,79
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Males,78
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Males,69
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Males,80
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Males,88
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Males,85
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Females,64
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Females,57
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Females,69
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Females,85
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Females,66
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Sex unknown,52
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Sex unknown,64
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Sex unknown,64
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Sex unknown,64
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,18 to 24 years,Sex unknown,71
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Total,73
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Total,78
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Total,79
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Total,85
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Total,76
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Males,78
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Males,78
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Males,86
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Males,90
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Males,78
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Females,64
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Females,77
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Females,64
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Females,79
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Females,71
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Sex unknown,54
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Sex unknown,50
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Sex unknown,44
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Sex unknown,44
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,25 to 34 years,Sex unknown,52
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Total,85
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Total,86
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Total,79
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Total,79
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Total,78
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Males,88
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Males,92
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Males,85
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Males,79
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Males,81
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Females,75
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Females,73
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Females,71
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Females,84
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Females,68
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Sex unknown,73
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Sex unknown,50
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Sex unknown,43
2017/2018,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Sex unknown,50
2018/2019,Adult criminal courts,Saskatchewan,Total Criminal Code,35 to 44 years,Sex unknown,47
2014/2015,Adult criminal courts,Saskatchewan,Total Criminal Code,45 to 54 years,Total,87
2015/2016,Adult criminal courts,Saskatchewan,Total Criminal Code,45 to 54 years,Total,86
2016/2017,Adult criminal courts,Saskatchewan,Total Criminal Code,45 to 54 years,Total,92
