Year,Geography,Violations,GeoCode,Value
2018,data.Yukon [60],"Sexual assault, level 3, aggravated",,4.92
2019,data.Yukon [60],"Sexual assault, level 3, aggravated",,2.41
2020,data.Yukon [60],"Sexual assault, level 3, aggravated",,7.13
2015,data.Yukon [60],"Sexual assault, level 2, weapon or bodily harm",,2.65
2016,data.Yukon [60],"Sexual assault, level 2, weapon or bodily harm",,0.0
2017,data.Yukon [60],"Sexual assault, level 2, weapon or bodily harm",,2.52
2018,data.Yukon [60],"Sexual assault, level 2, weapon or bodily harm",,4.92
2019,data.Yukon [60],"Sexual assault, level 2, weapon or bodily harm",,4.82
2020,data.Yukon [60],"Sexual assault, level 2, weapon or bodily harm",,2.38
2015,data.Yukon [60],"Sexual assault, level 1",,204.3
2016,data.Yukon [60],"Sexual assault, level 1",,210.13
2017,data.Yukon [60],"Sexual assault, level 1",,163.86
2018,data.Yukon [60],"Sexual assault, level 1",,196.98
2019,data.Yukon [60],"Sexual assault, level 1",,298.96
2020,data.Yukon [60],"Sexual assault, level 1",,275.85
2015,data.Yukon [60],Total sexual violations against children,,68.98
2016,data.Yukon [60],Total sexual violations against children,,54.48
2017,data.Yukon [60],Total sexual violations against children,,40.33
2018,data.Yukon [60],Total sexual violations against children,,68.94
2019,data.Yukon [60],Total sexual violations against children,,67.51
2020,data.Yukon [60],Total sexual violations against children,,64.21
2015,data.Yukon [60],"Assault, level 3, aggravated",,58.37
2016,data.Yukon [60],"Assault, level 3, aggravated",,38.91
2017,data.Yukon [60],"Assault, level 3, aggravated",,37.81
2018,data.Yukon [60],"Assault, level 3, aggravated",,29.55
2019,data.Yukon [60],"Assault, level 3, aggravated",,28.93
2020,data.Yukon [60],"Assault, level 3, aggravated",,68.96
2015,data.Yukon [60],"Assault, level 2, weapon or bodily harm",,419.21
2016,data.Yukon [60],"Assault, level 2, weapon or bodily harm",,456.59
2017,data.Yukon [60],"Assault, level 2, weapon or bodily harm",,347.88
2018,data.Yukon [60],"Assault, level 2, weapon or bodily harm",,514.61
2019,data.Yukon [60],"Assault, level 2, weapon or bodily harm",,520.77
2020,data.Yukon [60],"Assault, level 2, weapon or bodily harm",,444.69
2015,data.Yukon [60],"Assault, level 1",,2098.7
2016,data.Yukon [60],"Assault, level 1",,2049.45
2017,data.Yukon [60],"Assault, level 1",,1893.17
2018,data.Yukon [60],"Assault, level 1",,1979.66
2019,data.Yukon [60],"Assault, level 1",,2495.36
2020,data.Yukon [60],"Assault, level 1",,2444.59
2015,data.Yukon [60],Total robbery,,58.37
2016,data.Yukon [60],Total robbery,,62.26
2017,data.Yukon [60],Total robbery,,30.25
2018,data.Yukon [60],Total robbery,,39.4
2019,data.Yukon [60],Total robbery,,53.04
2020,data.Yukon [60],Total robbery,,54.69
2015,data.Yukon [60],Uttering threats,,697.8
2016,data.Yukon [60],Uttering threats,,658.94
2017,data.Yukon [60],Uttering threats,,688.19
2018,data.Yukon [60],Uttering threats,,635.26
2019,data.Yukon [60],Uttering threats,,961.98
2020,data.Yukon [60],Uttering threats,,901.27
2015,data.Yukon [60],Total other violent violations,,21.23
2016,data.Yukon [60],Total other violent violations,,28.54
2017,data.Yukon [60],Total other violent violations,,45.38
2018,data.Yukon [60],Total other violent violations,,12.31
2019,data.Yukon [60],Total other violent violations,,38.58
2020,data.Yukon [60],Total other violent violations,,68.96
2015,data.Northwest Territories [61],"Total, all violations",61,47229.69
2016,data.Northwest Territories [61],"Total, all violations",61,43320.12
2017,data.Northwest Territories [61],"Total, all violations",61,44536.77
2018,data.Northwest Territories [61],"Total, all violations",61,45461.42
2019,data.Northwest Territories [61],"Total, all violations",61,55469.93
2020,data.Northwest Territories [61],"Total, all violations",61,60421.6
2015,data.Northwest Territories [61],Homicide,,11.3
2016,data.Northwest Territories [61],Homicide,,6.72
2017,data.Northwest Territories [61],Homicide,,4.46
2018,data.Northwest Territories [61],Homicide,,13.34
2019,data.Northwest Territories [61],Homicide,,4.44
2020,data.Northwest Territories [61],Homicide,,13.29
2015,data.Northwest Territories [61],Total other violations causing death,,0.0
2016,data.Northwest Territories [61],Total other violations causing death,,0.0
2017,data.Northwest Territories [61],Total other violations causing death,,0.0
2018,data.Northwest Territories [61],Total other violations causing death,,0.0
2019,data.Northwest Territories [61],Total other violations causing death,,0.0
2020,data.Northwest Territories [61],Total other violations causing death,,0.0
2015,data.Northwest Territories [61],Attempted murder,,6.78
2016,data.Northwest Territories [61],Attempted murder,,0.0
2017,data.Northwest Territories [61],Attempted murder,,2.23
2018,data.Northwest Territories [61],Attempted murder,,2.22
2019,data.Northwest Territories [61],Attempted murder,,2.22
2020,data.Northwest Territories [61],Attempted murder,,2.21
2015,data.Northwest Territories [61],"Sexual assault, level 3, aggravated",,2.26
2016,data.Northwest Territories [61],"Sexual assault, level 3, aggravated",,2.24
2017,data.Northwest Territories [61],"Sexual assault, level 3, aggravated",,2.23
2018,data.Northwest Territories [61],"Sexual assault, level 3, aggravated",,2.22
2019,data.Northwest Territories [61],"Sexual assault, level 3, aggravated",,4.44
2020,data.Northwest Territories [61],"Sexual assault, level 3, aggravated",,0.0
2015,data.Northwest Territories [61],"Sexual assault, level 2, weapon or bodily harm",,13.56
2016,data.Northwest Territories [61],"Sexual assault, level 2, weapon or bodily harm",,15.68
2017,data.Northwest Territories [61],"Sexual assault, level 2, weapon or bodily harm",,11.14
2018,data.Northwest Territories [61],"Sexual assault, level 2, weapon or bodily harm",,0.0
2019,data.Northwest Territories [61],"Sexual assault, level 2, weapon or bodily harm",,2.22
2020,data.Northwest Territories [61],"Sexual assault, level 2, weapon or bodily harm",,6.64
2015,data.Northwest Territories [61],"Sexual assault, level 1",,363.95
2016,data.Northwest Territories [61],"Sexual assault, level 1",,293.4
2017,data.Northwest Territories [61],"Sexual assault, level 1",,405.43
2018,data.Northwest Territories [61],"Sexual assault, level 1",,360.15
2019,data.Northwest Territories [61],"Sexual assault, level 1",,575.2
2020,data.Northwest Territories [61],"Sexual assault, level 1",,540.29
2015,data.Northwest Territories [61],Total sexual violations against children,,90.42
2016,data.Northwest Territories [61],Total sexual violations against children,,85.11
2017,data.Northwest Territories [61],Total sexual violations against children,,122.52
2018,data.Northwest Territories [61],Total sexual violations against children,,140.06
2019,data.Northwest Territories [61],Total sexual violations against children,,142.13
2020,data.Northwest Territories [61],Total sexual violations against children,,112.93
2015,data.Northwest Territories [61],"Assault, level 3, aggravated",,72.34
2016,data.Northwest Territories [61],"Assault, level 3, aggravated",,49.27
2017,data.Northwest Territories [61],"Assault, level 3, aggravated",,75.74
2018,data.Northwest Territories [61],"Assault, level 3, aggravated",,84.48
2019,data.Northwest Territories [61],"Assault, level 3, aggravated",,95.5
2020,data.Northwest Territories [61],"Assault, level 3, aggravated",,88.57
2015,data.Northwest Territories [61],"Assault, level 2, weapon or bodily harm",,849.97
2016,data.Northwest Territories [61],"Assault, level 2, weapon or bodily harm",,891.4
2017,data.Northwest Territories [61],"Assault, level 2, weapon or bodily harm",,948.97
2018,data.Northwest Territories [61],"Assault, level 2, weapon or bodily harm",,878.15
2019,data.Northwest Territories [61],"Assault, level 2, weapon or bodily harm",,1125.97
2020,data.Northwest Territories [61],"Assault, level 2, weapon or bodily harm",,1262.15
2015,data.Northwest Territories [61],"Assault, level 1",,4265.66
2016,data.Northwest Territories [61],"Assault, level 1",,4353.96
2017,data.Northwest Territories [61],"Assault, level 1",,4876.26
2018,data.Northwest Territories [61],"Assault, level 1",,5113.27
2019,data.Northwest Territories [61],"Assault, level 1",,6200.59
2020,data.Northwest Territories [61],"Assault, level 1",,6200.04
2015,data.Northwest Territories [61],Total robbery,,61.03
2016,data.Northwest Territories [61],Total robbery,,69.43
2017,data.Northwest Territories [61],Total robbery,,66.83
2018,data.Northwest Territories [61],Total robbery,,86.7
2019,data.Northwest Territories [61],Total robbery,,79.95
2020,data.Northwest Territories [61],Total robbery,,75.29
2015,data.Northwest Territories [61],Uttering threats,,1118.97
2016,data.Northwest Territories [61],Uttering threats,,1218.39
2017,data.Northwest Territories [61],Uttering threats,,1187.32
2018,data.Northwest Territories [61],Uttering threats,,1204.95
2019,data.Northwest Territories [61],Uttering threats,,1747.8
2020,data.Northwest Territories [61],Uttering threats,,2008.37
2015,data.Northwest Territories [61],Total other violent violations,,36.17
2016,data.Northwest Territories [61],Total other violent violations,,44.79
2017,data.Northwest Territories [61],Total other violent violations,,53.46
2018,data.Northwest Territories [61],Total other violent violations,,48.91
2019,data.Northwest Territories [61],Total other violent violations,,102.16
2020,data.Northwest Territories [61],Total other violent violations,,79.71
2015,data.Nunavut [62],"Total, all violations",62,34482.57
2016,data.Nunavut [62],"Total, all violations",62,35935.09
2017,data.Nunavut [62],"Total, all violations",62,36912.05
2018,data.Nunavut [62],"Total, all violations",62,40093.86
2019,data.Nunavut [62],"Total, all violations",62,49158.34
2020,data.Nunavut [62],"Total, all violations",62,53284.37
2015,data.Nunavut [62],Homicide,,5.48
2016,data.Nunavut [62],Homicide,,2.7
2017,data.Nunavut [62],Homicide,,15.98
2018,data.Nunavut [62],Homicide,,20.97
2019,data.Nunavut [62],Homicide,,18.13
2020,data.Nunavut [62],Homicide,,7.62
2015,data.Nunavut [62],Total other violations causing death,,0.0
2016,data.Nunavut [62],Total other violations causing death,,0.0
2017,data.Nunavut [62],Total other violations causing death,,0.0
2018,data.Nunavut [62],Total other violations causing death,,0.0
2019,data.Nunavut [62],Total other violations causing death,,0.0
2020,data.Nunavut [62],Total other violations causing death,,0.0
2015,data.Nunavut [62],Attempted murder,,2.74
2016,data.Nunavut [62],Attempted murder,,24.34
2017,data.Nunavut [62],Attempted murder,,5.33
2018,data.Nunavut [62],Attempted murder,,20.97
2019,data.Nunavut [62],Attempted murder,,15.54
2020,data.Nunavut [62],Attempted murder,,17.79
2015,data.Nunavut [62],"Sexual assault, level 3, aggravated",,2.74
2016,data.Nunavut [62],"Sexual assault, level 3, aggravated",,0.0
2017,data.Nunavut [62],"Sexual assault, level 3, aggravated",,0.0
2018,data.Nunavut [62],"Sexual assault, level 3, aggravated",,18.35
2019,data.Nunavut [62],"Sexual assault, level 3, aggravated",,5.18
2020,data.Nunavut [62],"Sexual assault, level 3, aggravated",,2.54
2015,data.Nunavut [62],"Sexual assault, level 2, weapon or bodily harm",,5.48
2016,data.Nunavut [62],"Sexual assault, level 2, weapon or bodily harm",,0.0
2017,data.Nunavut [62],"Sexual assault, level 2, weapon or bodily harm",,2.66
2018,data.Nunavut [62],"Sexual assault, level 2, weapon or bodily harm",,5.24
2019,data.Nunavut [62],"Sexual assault, level 2, weapon or bodily harm",,0.0
2020,data.Nunavut [62],"Sexual assault, level 2, weapon or bodily harm",,15.25
2015,data.Nunavut [62],"Sexual assault, level 1",,441.24
2016,data.Nunavut [62],"Sexual assault, level 1",,440.84
2017,data.Nunavut [62],"Sexual assault, level 1",,396.85
2018,data.Nunavut [62],"Sexual assault, level 1",,437.83
2019,data.Nunavut [62],"Sexual assault, level 1",,554.2
2020,data.Nunavut [62],"Sexual assault, level 1",,581.91
2015,data.Nunavut [62],Total sexual violations against children,,134.29
2016,data.Nunavut [62],Total sexual violations against children,,278.57
2017,data.Nunavut [62],Total sexual violations against children,,218.4
2018,data.Nunavut [62],Total sexual violations against children,,230.71
2019,data.Nunavut [62],Total sexual violations against children,,266.74
2020,data.Nunavut [62],Total sexual violations against children,,363.38
2015,data.Nunavut [62],"Assault, level 3, aggravated",,65.78
2016,data.Nunavut [62],"Assault, level 3, aggravated",,91.95
2017,data.Nunavut [62],"Assault, level 3, aggravated",,141.16
2018,data.Nunavut [62],"Assault, level 3, aggravated",,165.17
2019,data.Nunavut [62],"Assault, level 3, aggravated",,214.95
2020,data.Nunavut [62],"Assault, level 3, aggravated",,188.04
2015,data.Nunavut [62],"Assault, level 2, weapon or bodily harm",,951.0
2016,data.Nunavut [62],"Assault, level 2, weapon or bodily harm",,1046.65
2017,data.Nunavut [62],"Assault, level 2, weapon or bodily harm",,910.88
2018,data.Nunavut [62],"Assault, level 2, weapon or bodily harm",,1014.6
2019,data.Nunavut [62],"Assault, level 2, weapon or bodily harm",,1411.41
2020,data.Nunavut [62],"Assault, level 2, weapon or bodily harm",,1611.06
2015,data.Nunavut [62],"Assault, level 1",,4138.35
2016,data.Nunavut [62],"Assault, level 1",,4235.29
2017,data.Nunavut [62],"Assault, level 1",,4434.56
2018,data.Nunavut [62],"Assault, level 1",,4624.7
2019,data.Nunavut [62],"Assault, level 1",,5767.34
2020,data.Nunavut [62],"Assault, level 1",,5961.43
2015,data.Nunavut [62],Total robbery,,52.07
2016,data.Nunavut [62],Total robbery,,27.05
2017,data.Nunavut [62],Total robbery,,39.95
2018,data.Nunavut [62],Total robbery,,34.08
2019,data.Nunavut [62],Total robbery,,38.85
2020,data.Nunavut [62],Total robbery,,27.95
2015,data.Nunavut [62],Uttering threats,,1189.43
2016,data.Nunavut [62],Uttering threats,,1092.63
2017,data.Nunavut [62],Uttering threats,,1158.58
2018,data.Nunavut [62],Uttering threats,,1200.74
2019,data.Nunavut [62],Uttering threats,,1675.56
2020,data.Nunavut [62],Uttering threats,,2025.26
2015,data.Nunavut [62],Total other violent violations,,74.0
2016,data.Nunavut [62],Total other violent violations,,37.86
2017,data.Nunavut [62],Total other violent violations,,47.94
2018,data.Nunavut [62],Total other violent violations,,73.41
2019,data.Nunavut [62],Total other violent violations,,88.05
2020,data.Nunavut [62],Total other violent violations,,86.4
