Year,Geography,Disposition de vie,Niveau de sécurité alimentaire du ménage,Value
2015-2016,Nunavut,Couple sans enfant,Food insecure marginal,
2017-2018,Nunavut,Couple sans enfant,Food insecure marginal,
2015-2016,Nunavut,Couple sans enfant,Food insecure moderate and severe,
2017-2018,Nunavut,Couple sans enfant,Food insecure moderate and severe,
2015-2016,Nunavut,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,40.1
2017-2018,Nunavut,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,33.9
2015-2016,Nunavut,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Nunavut,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,12.7
2015-2016,Nunavut,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,51.5
2017-2018,Nunavut,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,53.3
2015-2016,Nunavut,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Nunavut,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,20.7
2015-2016,Nunavut,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Nunavut,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Nunavut,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,78.1
2017-2018,Nunavut,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,69.0
2015-2016,Nunavut,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Nunavut,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2015-2016,Nunavut,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Nunavut,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Nunavut,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Nunavut,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Nunavut,Autres dispositions de vie,Sécurité alimentaire,34.3
2017-2018,Nunavut,Autres dispositions de vie,Sécurité alimentaire,29.5
2015-2016,Nunavut,Autres dispositions de vie,Food insecure marginal,
2017-2018,Nunavut,Autres dispositions de vie,Food insecure marginal,8.0
2015-2016,Nunavut,Autres dispositions de vie,Food insecure moderate and severe,59.8
2017-2018,Nunavut,Autres dispositions de vie,Food insecure moderate and severe,62.6
