Year,Géographie,data.Type of work,data.National Occupational Classification (NOC),Groupe d'âge,Value
2017,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.91
2018,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.91
2019,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.1
2020,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.11
2015,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.9
2016,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.88
2017,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.9
2018,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.87
2019,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.93
2020,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.92
2015,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.95
2016,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.9
2017,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.96
2018,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.89
2019,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.98
2020,Québec,data.Full-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.96
2015,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.89
2016,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.97
2017,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.93
2018,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,1.01
2019,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.97
2020,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.94
2015,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,1.02
2016,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,1.08
2017,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.99
2018,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.95
2019,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.95
2020,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.8
2015,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.89
2016,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.96
2017,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.9
2018,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,1.01
2019,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.95
2020,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.93
2015,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.9
2016,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,1.13
2017,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,1.11
2018,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.99
2019,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,1.13
2020,Québec,data.Full-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.98
2015,Québec,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.99
2016,Québec,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.88
2017,Québec,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.91
2018,Québec,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.93
2019,Québec,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.93
2020,Québec,data.Full-time employees,data.Health occupations [3],15 ans et plus,0.93
2015,Québec,data.Full-time employees,data.Health occupations [3],15 à 24 ans,1.14
2016,Québec,data.Full-time employees,data.Health occupations [3],15 à 24 ans,0.87
2017,Québec,data.Full-time employees,data.Health occupations [3],15 à 24 ans,
2018,Québec,data.Full-time employees,data.Health occupations [3],15 à 24 ans,1.05
2019,Québec,data.Full-time employees,data.Health occupations [3],15 à 24 ans,0.98
2020,Québec,data.Full-time employees,data.Health occupations [3],15 à 24 ans,0.81
2015,Québec,data.Full-time employees,data.Health occupations [3],25 à 54 ans,1.04
2016,Québec,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.91
2017,Québec,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.93
2018,Québec,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.94
2019,Québec,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.95
2020,Québec,data.Full-time employees,data.Health occupations [3],25 à 54 ans,0.99
2015,Québec,data.Full-time employees,data.Health occupations [3],55 ans et plus,0.76
2016,Québec,data.Full-time employees,data.Health occupations [3],55 ans et plus,0.64
2017,Québec,data.Full-time employees,data.Health occupations [3],55 ans et plus,1.0
2018,Québec,data.Full-time employees,data.Health occupations [3],55 ans et plus,1.0
2019,Québec,data.Full-time employees,data.Health occupations [3],55 ans et plus,0.87
2020,Québec,data.Full-time employees,data.Health occupations [3],55 ans et plus,1.01
2015,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.82
2016,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.79
2017,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.82
2018,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.74
2019,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.77
2020,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.78
2015,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,1.0
2016,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.82
2017,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.84
2018,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.92
2019,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,1.06
2020,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,1.0
2015,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.83
2016,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.83
2017,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.84
2018,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.77
2019,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.81
2020,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.81
2015,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.75
2016,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.67
2017,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.64
2018,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.73
2019,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.66
2020,Québec,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.75
2015,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.85
2016,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.94
2017,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.98
2018,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.9
2019,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.79
2020,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.98
2015,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.0
2016,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.18
2017,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.03
2018,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.12
2019,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.97
2020,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.94
2015,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.85
2016,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,1.0
2017,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,1.03
2018,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.87
2019,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.9
2020,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.94
2015,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.06
2016,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.07
2017,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.84
2018,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.04
2019,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.06
2020,Québec,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.17
2015,Québec,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.88
2016,Québec,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.88
2017,Québec,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.87
2018,Québec,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.89
2019,Québec,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.91
2020,Québec,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.92
2015,Québec,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2016,Québec,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,0.94
2017,Québec,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,0.92
2018,Québec,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,0.96
2019,Québec,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,0.96
2020,Québec,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,0.93
2015,Québec,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.87
2016,Québec,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.9
2017,Québec,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.94
2018,Québec,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.89
2019,Québec,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.92
2020,Québec,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.96
2015,Québec,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.87
2016,Québec,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.88
2017,Québec,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.85
2018,Québec,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.86
2019,Québec,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.88
2020,Québec,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.85
2015,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.77
2016,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.71
2017,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.81
2018,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.77
2019,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.74
2020,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.89
2015,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.72
2016,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,
2017,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.92
2018,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,1.0
2019,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.9
2020,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.95
2015,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.82
2016,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.72
2017,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.8
2018,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.84
2019,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.76
2020,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.86
2015,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.72
2016,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.67
2017,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.79
2018,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.71
2019,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.71
2020,Québec,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.96
2015,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.64
2016,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.89
2017,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.73
2018,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.76
2019,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.76
2020,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.79
2015,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,
2016,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,
2017,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,
2018,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,
2019,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.83
2020,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,
2015,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.67
2016,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.83
2017,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.71
2018,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.73
2019,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.68
2020,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.8
2015,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.64
2016,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2017,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.71
2018,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.75
2019,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.87
2020,Québec,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.76
2015,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.77
2016,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.76
2017,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.82
2018,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.82
2019,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.74
2020,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.8
2015,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.83
2016,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.92
2017,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.95
2018,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.88
2019,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.97
2020,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,1.0
2015,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.75
2016,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.78
2017,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.81
2018,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.76
2019,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.7
2020,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.82
2015,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.69
2016,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.7
2017,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.79
2018,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.81
2019,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.75
2020,Québec,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.84
2015,Québec,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.14
2016,Québec,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.08
2017,Québec,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.1
2018,Québec,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.08
2019,Québec,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.08
2020,Québec,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.13
2015,Québec,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2016,Québec,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,0.98
2017,Québec,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,0.98
2018,Québec,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2019,Québec,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.02
2020,Québec,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.02
2015,Québec,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.06
2016,Québec,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.06
2017,Québec,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.11
2018,Québec,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.03
2019,Québec,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.07
2020,Québec,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.12
2015,Québec,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.0
2016,Québec,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.02
2017,Québec,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.04
2018,Québec,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.04
2019,Québec,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.03
2020,Québec,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.04
2015,Québec,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.92
2016,Québec,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.76
2017,Québec,data.Part-time employees,data.Management occupations [0],15 ans et plus,1.44
2018,Québec,data.Part-time employees,data.Management occupations [0],15 ans et plus,1.39
2019,Québec,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.94
2020,Québec,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.88
2015,Québec,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2016,Québec,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2017,Québec,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2018,Québec,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2019,Québec,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2020,Québec,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2015,Québec,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2016,Québec,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2017,Québec,data.Part-time employees,data.Management occupations [0],25 à 54 ans,1.58
2018,Québec,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2019,Québec,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2020,Québec,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2015,Québec,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2016,Québec,data.Part-time employees,data.Management occupations [0],55 ans et plus,0.51
2017,Québec,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2018,Québec,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2019,Québec,data.Part-time employees,data.Management occupations [0],55 ans et plus,1.52
2020,Québec,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2015,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.08
2016,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.0
2017,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.16
2018,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.0
2019,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.16
2020,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.05
2015,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.88
2016,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.93
2017,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.93
2018,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.95
2019,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.94
2020,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.94
2015,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.95
2016,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.96
2017,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.11
2018,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.03
2019,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.05
2020,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.02
2015,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,1.01
2016,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.93
2017,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,1.15
2018,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.91
2019,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.94
2020,Québec,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.98
2015,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,1.03
2016,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.82
2017,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.95
2018,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.91
2019,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.75
2020,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.78
2015,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2016,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.91
2017,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2018,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2019,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.8
2020,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.81
2015,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,1.09
2016,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,
2017,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,
2018,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.92
2019,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.83
2020,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,1.0
2015,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2016,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2017,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2018,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2019,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2020,Québec,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2015,Québec,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.05
2016,Québec,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.05
2017,Québec,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.08
2018,Québec,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.08
2019,Québec,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.04
2020,Québec,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.05
2015,Québec,data.Part-time employees,data.Health occupations [3],15 à 24 ans,0.96
