Year,Géographie,data.Persons in low income,Value
2018,Manitoba,data.Persons 65 years and over,5.8
2019,Manitoba,data.Persons 65 years and over,5.4
2015,Manitoba,Hommes,14.4
2016,Manitoba,Hommes,12.4
2017,Manitoba,Hommes,10.7
2018,Manitoba,Hommes,11.0
2019,Manitoba,Hommes,11.8
2015,Manitoba,"data.Males, under 18 years",22.8
2016,Manitoba,"data.Males, under 18 years",16.7
2017,Manitoba,"data.Males, under 18 years",11.5
2018,Manitoba,"data.Males, under 18 years",13.9
2019,Manitoba,"data.Males, under 18 years",15.7
2015,Manitoba,"data.Males, 18 to 64 years",13.8
2016,Manitoba,"data.Males, 18 to 64 years",12.8
2017,Manitoba,"data.Males, 18 to 64 years",11.7
2018,Manitoba,"data.Males, 18 to 64 years",11.4
2019,Manitoba,"data.Males, 18 to 64 years",12.0
2015,Manitoba,"data.Males, 65 years and over",3.8
2016,Manitoba,"data.Males, 65 years and over",3.9
2017,Manitoba,"data.Males, 65 years and over",4.6
2018,Manitoba,"data.Males, 65 years and over",4.9
2019,Manitoba,"data.Males, 65 years and over",5.2
2015,Manitoba,Femmes,13.5
2016,Manitoba,Femmes,12.2
2017,Manitoba,Femmes,11.4
2018,Manitoba,Femmes,10.7
2019,Manitoba,Femmes,10.9
2015,Manitoba,"data.Females, under 18 years",15.4
2016,Manitoba,"data.Females, under 18 years",14.3
2017,Manitoba,"data.Females, under 18 years",13.8
2018,Manitoba,"data.Females, under 18 years",12.2
2019,Manitoba,"data.Females, under 18 years",13.1
2015,Manitoba,"data.Females, 18 to 64 years",14.3
2016,Manitoba,"data.Females, 18 to 64 years",13.2
2017,Manitoba,"data.Females, 18 to 64 years",12.0
2018,Manitoba,"data.Females, 18 to 64 years",11.3
2019,Manitoba,"data.Females, 18 to 64 years",11.7
2015,Manitoba,"data.Females, 65 years and over",7.7
2016,Manitoba,"data.Females, 65 years and over",5.7
2017,Manitoba,"data.Females, 65 years and over",6.1
2018,Manitoba,"data.Females, 65 years and over",6.6
2019,Manitoba,"data.Females, 65 years and over",5.5
2015,Manitoba,data.Persons in economic families,11.7
2016,Manitoba,data.Persons in economic families,10.0
2017,Manitoba,data.Persons in economic families,8.3
2018,Manitoba,data.Persons in economic families,8.0
2019,Manitoba,data.Persons in economic families,8.5
2015,Manitoba,data.Males in economic families,12.1
2016,Manitoba,data.Males in economic families,9.8
2017,Manitoba,data.Males in economic families,7.4
2018,Manitoba,data.Males in economic families,7.7
2019,Manitoba,data.Males in economic families,8.5
2015,Manitoba,data.Females in economic families,11.2
2016,Manitoba,data.Females in economic families,10.3
2017,Manitoba,data.Females in economic families,9.1
2018,Manitoba,data.Females in economic families,8.2
2019,Manitoba,data.Females in economic families,8.6
2015,Manitoba,data.Elderly persons in economic families,2.0
2016,Manitoba,data.Elderly persons in economic families,
2017,Manitoba,data.Elderly persons in economic families,2.8
2018,Manitoba,data.Elderly persons in economic families,2.9
2019,Manitoba,data.Elderly persons in economic families,
2015,Manitoba,data.Persons under 18 years in economic families,19.1
2016,Manitoba,data.Persons under 18 years in economic families,15.6
2017,Manitoba,data.Persons under 18 years in economic families,12.7
2018,Manitoba,data.Persons under 18 years in economic families,12.8
2019,Manitoba,data.Persons under 18 years in economic families,14.4
2015,Manitoba,data.Persons under 18 years in couple families with children,14.0
2016,Manitoba,data.Persons under 18 years in couple families with children,12.2
2017,Manitoba,data.Persons under 18 years in couple families with children,9.8
2018,Manitoba,data.Persons under 18 years in couple families with children,9.5
2019,Manitoba,data.Persons under 18 years in couple families with children,12.4
2015,Manitoba,data.Persons under 18 years in female lone-parent families,47.7
2016,Manitoba,data.Persons under 18 years in female lone-parent families,45.8
2017,Manitoba,data.Persons under 18 years in female lone-parent families,36.1
2018,Manitoba,data.Persons under 18 years in female lone-parent families,35.2
2019,Manitoba,data.Persons under 18 years in female lone-parent families,37.9
2015,Manitoba,data.Persons 18 to 64 years in economic families,10.5
2016,Manitoba,data.Persons 18 to 64 years in economic families,9.2
2017,Manitoba,data.Persons 18 to 64 years in economic families,7.6
2018,Manitoba,data.Persons 18 to 64 years in economic families,7.1
2019,Manitoba,data.Persons 18 to 64 years in economic families,7.5
2015,Manitoba,data.Persons not in an economic family,27.3
2016,Manitoba,data.Persons not in an economic family,25.6
2017,Manitoba,data.Persons not in an economic family,27.0
2018,Manitoba,data.Persons not in an economic family,27.5
2019,Manitoba,data.Persons not in an economic family,27.7
2015,Manitoba,data.Males not in an economic family,27.5
2016,Manitoba,data.Males not in an economic family,27.7
2017,Manitoba,data.Males not in an economic family,28.8
2018,Manitoba,data.Males not in an economic family,29.8
2019,Manitoba,data.Males not in an economic family,30.8
2015,Manitoba,data.Females not in an economic family,27.1
2016,Manitoba,data.Females not in an economic family,23.3
2017,Manitoba,data.Females not in an economic family,25.1
2018,Manitoba,data.Females not in an economic family,25.2
2019,Manitoba,data.Females not in an economic family,24.6
2015,Manitoba,data.Elderly persons not in an economic family,15.7
2016,Manitoba,data.Elderly persons not in an economic family,10.5
2017,Manitoba,data.Elderly persons not in an economic family,11.5
2018,Manitoba,data.Elderly persons not in an economic family,13.2
2019,Manitoba,data.Elderly persons not in an economic family,14.1
2015,Manitoba,data.Non-elderly persons not in an economic family,32.1
2016,Manitoba,data.Non-elderly persons not in an economic family,33.2
2017,Manitoba,data.Non-elderly persons not in an economic family,34.2
2018,Manitoba,data.Non-elderly persons not in an economic family,33.8
2019,Manitoba,data.Non-elderly persons not in an economic family,33.7
2015,Manitoba,data.Non-elderly males not in an economic family,30.8
2016,Manitoba,data.Non-elderly males not in an economic family,33.2
2017,Manitoba,data.Non-elderly males not in an economic family,33.9
2018,Manitoba,data.Non-elderly males not in an economic family,33.1
2019,Manitoba,data.Non-elderly males not in an economic family,33.5
2015,Manitoba,data.Non-elderly females not in an economic family,33.9
2016,Manitoba,data.Non-elderly females not in an economic family,33.1
2017,Manitoba,data.Non-elderly females not in an economic family,34.7
2018,Manitoba,data.Non-elderly females not in an economic family,34.8
2019,Manitoba,data.Non-elderly females not in an economic family,33.9
2015,Saskatchewan,data.All persons,12.7
2016,Saskatchewan,data.All persons,11.5
2017,Saskatchewan,data.All persons,12.2
2018,Saskatchewan,data.All persons,11.2
2019,Saskatchewan,data.All persons,12.4
2015,Saskatchewan,data.Persons under 18 years,17.1
2016,Saskatchewan,data.Persons under 18 years,12.4
2017,Saskatchewan,data.Persons under 18 years,14.5
2018,Saskatchewan,data.Persons under 18 years,11.6
2019,Saskatchewan,data.Persons under 18 years,12.6
2015,Saskatchewan,data.Persons 18 to 64 years,12.8
2016,Saskatchewan,data.Persons 18 to 64 years,12.2
2017,Saskatchewan,data.Persons 18 to 64 years,13.1
2018,Saskatchewan,data.Persons 18 to 64 years,12.7
2019,Saskatchewan,data.Persons 18 to 64 years,14.0
2015,Saskatchewan,data.Persons 65 years and over,6.2
2016,Saskatchewan,data.Persons 65 years and over,7.0
2017,Saskatchewan,data.Persons 65 years and over,5.4
2018,Saskatchewan,data.Persons 65 years and over,4.6
2019,Saskatchewan,data.Persons 65 years and over,5.9
2015,Saskatchewan,Hommes,11.3
2016,Saskatchewan,Hommes,10.6
2017,Saskatchewan,Hommes,11.9
2018,Saskatchewan,Hommes,11.0
2019,Saskatchewan,Hommes,13.0
2015,Saskatchewan,"data.Males, under 18 years",15.7
2016,Saskatchewan,"data.Males, under 18 years",11.5
2017,Saskatchewan,"data.Males, under 18 years",14.3
2018,Saskatchewan,"data.Males, under 18 years",10.8
2019,Saskatchewan,"data.Males, under 18 years",12.9
2015,Saskatchewan,"data.Males, 18 to 64 years",11.2
2016,Saskatchewan,"data.Males, 18 to 64 years",11.3
2017,Saskatchewan,"data.Males, 18 to 64 years",12.7
2018,Saskatchewan,"data.Males, 18 to 64 years",12.8
2019,Saskatchewan,"data.Males, 18 to 64 years",14.5
2015,Saskatchewan,"data.Males, 65 years and over",4.4
2016,Saskatchewan,"data.Males, 65 years and over",6.2
2017,Saskatchewan,"data.Males, 65 years and over",4.7
2018,Saskatchewan,"data.Males, 65 years and over",3.2
2019,Saskatchewan,"data.Males, 65 years and over",6.4
2015,Saskatchewan,Femmes,14.2
2016,Saskatchewan,Femmes,12.3
2017,Saskatchewan,Femmes,12.5
2018,Saskatchewan,Femmes,11.5
2019,Saskatchewan,Femmes,11.8
2015,Saskatchewan,"data.Females, under 18 years",18.4
2016,Saskatchewan,"data.Females, under 18 years",13.4
2017,Saskatchewan,"data.Females, under 18 years",14.7
2018,Saskatchewan,"data.Females, under 18 years",12.3
2019,Saskatchewan,"data.Females, under 18 years",12.3
2015,Saskatchewan,"data.Females, 18 to 64 years",14.4
2016,Saskatchewan,"data.Females, 18 to 64 years",13.2
2017,Saskatchewan,"data.Females, 18 to 64 years",13.5
2018,Saskatchewan,"data.Females, 18 to 64 years",12.7
2019,Saskatchewan,"data.Females, 18 to 64 years",13.4
2015,Saskatchewan,"data.Females, 65 years and over",7.7
2016,Saskatchewan,"data.Females, 65 years and over",7.6
2017,Saskatchewan,"data.Females, 65 years and over",6.0
2018,Saskatchewan,"data.Females, 65 years and over",5.9
2019,Saskatchewan,"data.Females, 65 years and over",5.5
2015,Saskatchewan,data.Persons in economic families,9.9
2016,Saskatchewan,data.Persons in economic families,8.4
2017,Saskatchewan,data.Persons in economic families,9.2
2018,Saskatchewan,data.Persons in economic families,8.0
2019,Saskatchewan,data.Persons in economic families,8.8
2015,Saskatchewan,data.Males in economic families,8.8
2016,Saskatchewan,data.Males in economic families,7.8
2017,Saskatchewan,data.Males in economic families,8.5
2018,Saskatchewan,data.Males in economic families,7.2
2019,Saskatchewan,data.Males in economic families,9.1
2015,Saskatchewan,data.Females in economic families,11.0
2016,Saskatchewan,data.Females in economic families,9.0
2017,Saskatchewan,data.Females in economic families,9.9
2018,Saskatchewan,data.Females in economic families,8.9
2019,Saskatchewan,data.Females in economic families,8.5
2015,Saskatchewan,data.Elderly persons in economic families,
2016,Saskatchewan,data.Elderly persons in economic families,
2017,Saskatchewan,data.Elderly persons in economic families,2.6
2018,Saskatchewan,data.Elderly persons in economic families,2.8
2019,Saskatchewan,data.Elderly persons in economic families,4.2
2015,Saskatchewan,data.Persons under 18 years in economic families,16.9
2016,Saskatchewan,data.Persons under 18 years in economic families,12.0
2017,Saskatchewan,data.Persons under 18 years in economic families,14.4
2018,Saskatchewan,data.Persons under 18 years in economic families,11.5
2019,Saskatchewan,data.Persons under 18 years in economic families,12.0
2015,Saskatchewan,data.Persons under 18 years in couple families with children,12.5
2016,Saskatchewan,data.Persons under 18 years in couple families with children,8.2
2017,Saskatchewan,data.Persons under 18 years in couple families with children,9.2
2018,Saskatchewan,data.Persons under 18 years in couple families with children,8.0
2019,Saskatchewan,data.Persons under 18 years in couple families with children,7.9
2015,Saskatchewan,data.Persons under 18 years in female lone-parent families,43.4
2016,Saskatchewan,data.Persons under 18 years in female lone-parent families,54.4
2017,Saskatchewan,data.Persons under 18 years in female lone-parent families,53.0
2018,Saskatchewan,data.Persons under 18 years in female lone-parent families,48.4
2019,Saskatchewan,data.Persons under 18 years in female lone-parent families,39.0
2015,Saskatchewan,data.Persons 18 to 64 years in economic families,8.6
2016,Saskatchewan,data.Persons 18 to 64 years in economic families,7.9
2017,Saskatchewan,data.Persons 18 to 64 years in economic families,8.3
2018,Saskatchewan,data.Persons 18 to 64 years in economic families,7.6
2019,Saskatchewan,data.Persons 18 to 64 years in economic families,8.5
2015,Saskatchewan,data.Persons not in an economic family,27.5
2016,Saskatchewan,data.Persons not in an economic family,27.4
2017,Saskatchewan,data.Persons not in an economic family,28.0
2018,Saskatchewan,data.Persons not in an economic family,27.8
2019,Saskatchewan,data.Persons not in an economic family,31.0
2015,Saskatchewan,data.Males not in an economic family,23.9
2016,Saskatchewan,data.Males not in an economic family,25.0
2017,Saskatchewan,data.Males not in an economic family,29.5
2018,Saskatchewan,data.Males not in an economic family,29.7
2019,Saskatchewan,data.Males not in an economic family,33.3
2015,Saskatchewan,data.Females not in an economic family,31.4
2016,Saskatchewan,data.Females not in an economic family,30.0
2017,Saskatchewan,data.Females not in an economic family,26.4
2018,Saskatchewan,data.Females not in an economic family,25.8
2019,Saskatchewan,data.Females not in an economic family,28.6
2015,Saskatchewan,data.Elderly persons not in an economic family,17.0
2016,Saskatchewan,data.Elderly persons not in an economic family,15.3
2017,Saskatchewan,data.Elderly persons not in an economic family,12.0
2018,Saskatchewan,data.Elderly persons not in an economic family,8.9
2019,Saskatchewan,data.Elderly persons not in an economic family,10.6
2015,Saskatchewan,data.Non-elderly persons not in an economic family,31.1
2016,Saskatchewan,data.Non-elderly persons not in an economic family,32.4
2017,Saskatchewan,data.Non-elderly persons not in an economic family,34.3
2018,Saskatchewan,data.Non-elderly persons not in an economic family,35.5
2019,Saskatchewan,data.Non-elderly persons not in an economic family,38.2
2015,Saskatchewan,data.Non-elderly males not in an economic family,25.3
2016,Saskatchewan,data.Non-elderly males not in an economic family,27.3
2017,Saskatchewan,data.Non-elderly males not in an economic family,33.1
2018,Saskatchewan,data.Non-elderly males not in an economic family,35.2
2019,Saskatchewan,data.Non-elderly males not in an economic family,37.7
2015,Saskatchewan,data.Non-elderly females not in an economic family,39.2
2016,Saskatchewan,data.Non-elderly females not in an economic family,39.1
2017,Saskatchewan,data.Non-elderly females not in an economic family,36.1
2018,Saskatchewan,data.Non-elderly females not in an economic family,36.0
2019,Saskatchewan,data.Non-elderly females not in an economic family,39.0
2015,Alberta,data.All persons,10.0
2016,Alberta,data.All persons,10.8
2017,Alberta,data.All persons,9.0
2018,Alberta,data.All persons,9.4
2019,Alberta,data.All persons,8.2
2015,Alberta,data.Persons under 18 years,12.9
2016,Alberta,data.Persons under 18 years,11.4
2017,Alberta,data.Persons under 18 years,7.9
2018,Alberta,data.Persons under 18 years,9.2
2019,Alberta,data.Persons under 18 years,7.2
2015,Alberta,data.Persons 18 to 64 years,10.2
2016,Alberta,data.Persons 18 to 64 years,11.8
2017,Alberta,data.Persons 18 to 64 years,10.4
2018,Alberta,data.Persons 18 to 64 years,10.6
2019,Alberta,data.Persons 18 to 64 years,9.6
2015,Alberta,data.Persons 65 years and over,3.2
2016,Alberta,data.Persons 65 years and over,4.5
2017,Alberta,data.Persons 65 years and over,2.9
2018,Alberta,data.Persons 65 years and over,3.5
2019,Alberta,data.Persons 65 years and over,3.3
2015,Alberta,Hommes,9.5
2016,Alberta,Hommes,10.5
2017,Alberta,Hommes,8.2
2018,Alberta,Hommes,9.6
2019,Alberta,Hommes,8.5
2015,Alberta,"data.Males, under 18 years",10.1
2016,Alberta,"data.Males, under 18 years",11.2
2017,Alberta,"data.Males, under 18 years",7.4
2018,Alberta,"data.Males, under 18 years",9.8
2019,Alberta,"data.Males, under 18 years",8.0
2015,Alberta,"data.Males, 18 to 64 years",10.3
2016,Alberta,"data.Males, 18 to 64 years",11.2
2017,Alberta,"data.Males, 18 to 64 years",9.4
2018,Alberta,"data.Males, 18 to 64 years",10.7
2019,Alberta,"data.Males, 18 to 64 years",9.6
2015,Alberta,"data.Males, 65 years and over",
2016,Alberta,"data.Males, 65 years and over",4.7
2017,Alberta,"data.Males, 65 years and over",2.7
2018,Alberta,"data.Males, 65 years and over",2.5
2019,Alberta,"data.Males, 65 years and over",4.1
2015,Alberta,Femmes,10.5
2016,Alberta,Femmes,11.2
2017,Alberta,Femmes,9.7
2018,Alberta,Femmes,9.2
2019,Alberta,Femmes,7.9
2015,Alberta,"data.Females, under 18 years",15.9
2016,Alberta,"data.Females, under 18 years",11.6
2017,Alberta,"data.Females, under 18 years",8.4
2018,Alberta,"data.Females, under 18 years",8.6
2019,Alberta,"data.Females, under 18 years",6.5
2015,Alberta,"data.Females, 18 to 64 years",10.1
2016,Alberta,"data.Females, 18 to 64 years",12.4
2017,Alberta,"data.Females, 18 to 64 years",11.4
2018,Alberta,"data.Females, 18 to 64 years",10.4
2019,Alberta,"data.Females, 18 to 64 years",9.6
2015,Alberta,"data.Females, 65 years and over",3.5
2016,Alberta,"data.Females, 65 years and over",4.3
2017,Alberta,"data.Females, 65 years and over",3.1
2018,Alberta,"data.Females, 65 years and over",4.3
2019,Alberta,"data.Females, 65 years and over",2.7
2015,Alberta,data.Persons in economic families,7.9
2016,Alberta,data.Persons in economic families,8.3
2017,Alberta,data.Persons in economic families,6.7
2018,Alberta,data.Persons in economic families,6.5
2019,Alberta,data.Persons in economic families,5.8
2015,Alberta,data.Males in economic families,7.0
2016,Alberta,data.Males in economic families,8.2
2017,Alberta,data.Males in economic families,6.3
2018,Alberta,data.Males in economic families,6.4
2019,Alberta,data.Males in economic families,5.7
2015,Alberta,data.Females in economic families,8.9
2016,Alberta,data.Females in economic families,8.4
2017,Alberta,data.Females in economic families,7.1
2018,Alberta,data.Females in economic families,6.6
2019,Alberta,data.Females in economic families,5.9
2015,Alberta,data.Elderly persons in economic families,
2016,Alberta,data.Elderly persons in economic families,
2017,Alberta,data.Elderly persons in economic families,1.9
2018,Alberta,data.Elderly persons in economic families,2.7
2019,Alberta,data.Elderly persons in economic families,2.5
2015,Alberta,data.Persons under 18 years in economic families,12.8
2016,Alberta,data.Persons under 18 years in economic families,11.3
2017,Alberta,data.Persons under 18 years in economic families,7.9
2018,Alberta,data.Persons under 18 years in economic families,9.1
2019,Alberta,data.Persons under 18 years in economic families,6.9
2015,Alberta,data.Persons under 18 years in couple families with children,10.6
2016,Alberta,data.Persons under 18 years in couple families with children,10.3
2017,Alberta,data.Persons under 18 years in couple families with children,6.9
2018,Alberta,data.Persons under 18 years in couple families with children,7.7
2019,Alberta,data.Persons under 18 years in couple families with children,6.1
2015,Alberta,data.Persons under 18 years in female lone-parent families,39.1
2016,Alberta,data.Persons under 18 years in female lone-parent families,36.5
2017,Alberta,data.Persons under 18 years in female lone-parent families,27.3
2018,Alberta,data.Persons under 18 years in female lone-parent families,32.3
2019,Alberta,data.Persons under 18 years in female lone-parent families,24.4
2015,Alberta,data.Persons 18 to 64 years in economic families,7.0
2016,Alberta,data.Persons 18 to 64 years in economic families,8.1
2017,Alberta,data.Persons 18 to 64 years in economic families,7.0
2018,Alberta,data.Persons 18 to 64 years in economic families,6.1
2019,Alberta,data.Persons 18 to 64 years in economic families,5.9
2015,Alberta,data.Persons not in an economic family,21.8
2016,Alberta,data.Persons not in an economic family,25.2
2017,Alberta,data.Persons not in an economic family,21.9
2018,Alberta,data.Persons not in an economic family,25.8
2019,Alberta,data.Persons not in an economic family,22.2
2015,Alberta,data.Males not in an economic family,22.8
2016,Alberta,data.Males not in an economic family,22.9
2017,Alberta,data.Males not in an economic family,19.0
2018,Alberta,data.Males not in an economic family,25.8
2019,Alberta,data.Males not in an economic family,24.7
2015,Alberta,data.Females not in an economic family,20.6
2016,Alberta,data.Females not in an economic family,27.7
2017,Alberta,data.Females not in an economic family,24.8
2018,Alberta,data.Females not in an economic family,25.8
2019,Alberta,data.Females not in an economic family,19.7
2015,Alberta,data.Elderly persons not in an economic family,7.8
2016,Alberta,data.Elderly persons not in an economic family,10.6
2017,Alberta,data.Elderly persons not in an economic family,5.6
2018,Alberta,data.Elderly persons not in an economic family,5.9
2019,Alberta,data.Elderly persons not in an economic family,5.7
2015,Alberta,data.Non-elderly persons not in an economic family,25.1
2016,Alberta,data.Non-elderly persons not in an economic family,29.1
2017,Alberta,data.Non-elderly persons not in an economic family,26.6
2018,Alberta,data.Non-elderly persons not in an economic family,31.0
2019,Alberta,data.Non-elderly persons not in an economic family,26.9
2015,Alberta,data.Non-elderly males not in an economic family,24.6
2016,Alberta,data.Non-elderly males not in an economic family,24.6
2017,Alberta,data.Non-elderly males not in an economic family,21.0
2018,Alberta,data.Non-elderly males not in an economic family,29.0
2019,Alberta,data.Non-elderly males not in an economic family,27.0
2015,Alberta,data.Non-elderly females not in an economic family,25.7
2016,Alberta,data.Non-elderly females not in an economic family,35.0
2017,Alberta,data.Non-elderly females not in an economic family,33.5
2018,Alberta,data.Non-elderly females not in an economic family,34.1
2019,Alberta,data.Non-elderly females not in an economic family,26.8
2015,Colombie-Britannique,data.All persons,17.8
2016,Colombie-Britannique,data.All persons,15.3
2017,Colombie-Britannique,data.All persons,13.6
2018,Colombie-Britannique,data.All persons,12.1
2019,Colombie-Britannique,data.All persons,10.8
2015,Colombie-Britannique,data.Persons under 18 years,16.6
2016,Colombie-Britannique,data.Persons under 18 years,17.0
2017,Colombie-Britannique,data.Persons under 18 years,13.0
2018,Colombie-Britannique,data.Persons under 18 years,10.9
2019,Colombie-Britannique,data.Persons under 18 years,7.2
2015,Colombie-Britannique,data.Persons 18 to 64 years,19.8
2016,Colombie-Britannique,data.Persons 18 to 64 years,16.6
2017,Colombie-Britannique,data.Persons 18 to 64 years,15.0
2018,Colombie-Britannique,data.Persons 18 to 64 years,13.8
2019,Colombie-Britannique,data.Persons 18 to 64 years,13.3
2015,Colombie-Britannique,data.Persons 65 years and over,11.3
2016,Colombie-Britannique,data.Persons 65 years and over,8.9
2017,Colombie-Britannique,data.Persons 65 years and over,9.2
2018,Colombie-Britannique,data.Persons 65 years and over,7.7
2019,Colombie-Britannique,data.Persons 65 years and over,5.9
2015,Colombie-Britannique,Hommes,17.7
2016,Colombie-Britannique,Hommes,15.5
2017,Colombie-Britannique,Hommes,13.6
2018,Colombie-Britannique,Hommes,12.5
2019,Colombie-Britannique,Hommes,10.0
2015,Colombie-Britannique,"data.Males, under 18 years",14.9
2016,Colombie-Britannique,"data.Males, under 18 years",17.1
2017,Colombie-Britannique,"data.Males, under 18 years",14.3
2018,Colombie-Britannique,"data.Males, under 18 years",12.3
2019,Colombie-Britannique,"data.Males, under 18 years",6.9
2015,Colombie-Britannique,"data.Males, 18 to 64 years",20.2
2016,Colombie-Britannique,"data.Males, 18 to 64 years",17.0
2017,Colombie-Britannique,"data.Males, 18 to 64 years",14.7
2018,Colombie-Britannique,"data.Males, 18 to 64 years",14.0
2019,Colombie-Britannique,"data.Males, 18 to 64 years",12.4
2015,Colombie-Britannique,"data.Males, 65 years and over",11.0
2016,Colombie-Britannique,"data.Males, 65 years and over",7.8
2017,Colombie-Britannique,"data.Males, 65 years and over",8.8
2018,Colombie-Britannique,"data.Males, 65 years and over",7.2
2019,Colombie-Britannique,"data.Males, 65 years and over",5.1
2015,Colombie-Britannique,Femmes,17.8
2016,Colombie-Britannique,Femmes,15.1
2017,Colombie-Britannique,Femmes,13.7
2018,Colombie-Britannique,Femmes,11.8
2019,Colombie-Britannique,Femmes,11.6
2015,Colombie-Britannique,"data.Females, under 18 years",18.4
2016,Colombie-Britannique,"data.Females, under 18 years",17.0
2017,Colombie-Britannique,"data.Females, under 18 years",11.7
2018,Colombie-Britannique,"data.Females, under 18 years",9.3
2019,Colombie-Britannique,"data.Females, under 18 years",7.4
2015,Colombie-Britannique,"data.Females, 18 to 64 years",19.4
2016,Colombie-Britannique,"data.Females, 18 to 64 years",16.1
2017,Colombie-Britannique,"data.Females, 18 to 64 years",15.4
2018,Colombie-Britannique,"data.Females, 18 to 64 years",13.6
2019,Colombie-Britannique,"data.Females, 18 to 64 years",14.2
2015,Colombie-Britannique,"data.Females, 65 years and over",11.5
2016,Colombie-Britannique,"data.Females, 65 years and over",9.8
2017,Colombie-Britannique,"data.Females, 65 years and over",9.6
2018,Colombie-Britannique,"data.Females, 65 years and over",8.3
2019,Colombie-Britannique,"data.Females, 65 years and over",6.7
2015,Colombie-Britannique,data.Persons in economic families,12.7
2016,Colombie-Britannique,data.Persons in economic families,10.7
2017,Colombie-Britannique,data.Persons in economic families,9.5
2018,Colombie-Britannique,data.Persons in economic families,7.9
2019,Colombie-Britannique,data.Persons in economic families,6.6
2015,Colombie-Britannique,data.Males in economic families,11.7
2016,Colombie-Britannique,data.Males in economic families,10.4
2017,Colombie-Britannique,data.Males in economic families,9.8
2018,Colombie-Britannique,data.Males in economic families,8.2
2019,Colombie-Britannique,data.Males in economic families,6.6
2015,Colombie-Britannique,data.Females in economic families,13.7
2016,Colombie-Britannique,data.Females in economic families,11.0
2017,Colombie-Britannique,data.Females in economic families,9.2
2018,Colombie-Britannique,data.Females in economic families,7.5
2019,Colombie-Britannique,data.Females in economic families,6.7
2015,Colombie-Britannique,data.Elderly persons in economic families,6.0
2016,Colombie-Britannique,data.Elderly persons in economic families,4.1
2017,Colombie-Britannique,data.Elderly persons in economic families,5.7
2018,Colombie-Britannique,data.Elderly persons in economic families,3.5
2019,Colombie-Britannique,data.Elderly persons in economic families,3.1
2015,Colombie-Britannique,data.Persons under 18 years in economic families,15.9
2016,Colombie-Britannique,data.Persons under 18 years in economic families,16.9
2017,Colombie-Britannique,data.Persons under 18 years in economic families,12.8
2018,Colombie-Britannique,data.Persons under 18 years in economic families,10.8
2019,Colombie-Britannique,data.Persons under 18 years in economic families,7.0
2015,Colombie-Britannique,data.Persons under 18 years in couple families with children,14.5
2016,Colombie-Britannique,data.Persons under 18 years in couple families with children,12.0
2017,Colombie-Britannique,data.Persons under 18 years in couple families with children,10.4
2018,Colombie-Britannique,data.Persons under 18 years in couple families with children,9.2
2019,Colombie-Britannique,data.Persons under 18 years in couple families with children,5.0
2015,Colombie-Britannique,data.Persons under 18 years in female lone-parent families,36.8
2016,Colombie-Britannique,data.Persons under 18 years in female lone-parent families,55.7
2017,Colombie-Britannique,data.Persons under 18 years in female lone-parent families,34.3
2018,Colombie-Britannique,data.Persons under 18 years in female lone-parent families,30.7
2019,Colombie-Britannique,data.Persons under 18 years in female lone-parent families,27.7
2015,Colombie-Britannique,data.Persons 18 to 64 years in economic families,13.2
2016,Colombie-Britannique,data.Persons 18 to 64 years in economic families,10.2
2017,Colombie-Britannique,data.Persons 18 to 64 years in economic families,9.3
2018,Colombie-Britannique,data.Persons 18 to 64 years in economic families,8.0
2019,Colombie-Britannique,data.Persons 18 to 64 years in economic families,7.5
2015,Colombie-Britannique,data.Persons not in an economic family,41.9
2016,Colombie-Britannique,data.Persons not in an economic family,37.2
2017,Colombie-Britannique,data.Persons not in an economic family,33.3
2018,Colombie-Britannique,data.Persons not in an economic family,32.5
2019,Colombie-Britannique,data.Persons not in an economic family,30.6
2015,Colombie-Britannique,data.Males not in an economic family,44.5
2016,Colombie-Britannique,data.Males not in an economic family,39.2
2017,Colombie-Britannique,data.Males not in an economic family,31.1
2018,Colombie-Britannique,data.Males not in an economic family,32.4
2019,Colombie-Britannique,data.Males not in an economic family,27.3
2015,Colombie-Britannique,data.Females not in an economic family,39.0
2016,Colombie-Britannique,data.Females not in an economic family,35.1
2017,Colombie-Britannique,data.Females not in an economic family,35.5
2018,Colombie-Britannique,data.Females not in an economic family,32.5
2019,Colombie-Britannique,data.Females not in an economic family,33.7
2015,Colombie-Britannique,data.Elderly persons not in an economic family,24.9
2016,Colombie-Britannique,data.Elderly persons not in an economic family,22.6
2017,Colombie-Britannique,data.Elderly persons not in an economic family,19.2
2018,Colombie-Britannique,data.Elderly persons not in an economic family,19.7
2019,Colombie-Britannique,data.Elderly persons not in an economic family,13.6
2015,Colombie-Britannique,data.Non-elderly persons not in an economic family,48.5
2016,Colombie-Britannique,data.Non-elderly persons not in an economic family,42.5
2017,Colombie-Britannique,data.Non-elderly persons not in an economic family,38.6
2018,Colombie-Britannique,data.Non-elderly persons not in an economic family,37.4
2019,Colombie-Britannique,data.Non-elderly persons not in an economic family,37.4
2015,Colombie-Britannique,data.Non-elderly males not in an economic family,47.2
2016,Colombie-Britannique,data.Non-elderly males not in an economic family,41.3
2017,Colombie-Britannique,data.Non-elderly males not in an economic family,33.9
2018,Colombie-Britannique,data.Non-elderly males not in an economic family,35.5
2019,Colombie-Britannique,data.Non-elderly males not in an economic family,32.2
2015,Colombie-Britannique,data.Non-elderly females not in an economic family,50.5
2016,Colombie-Britannique,data.Non-elderly females not in an economic family,43.9
