Year,Units,Géographie,Offences,Âge,Sexe,Value
2018/2019,Adult criminal courts,Colombie-Britannique,Administration of justice,55 years and over,Femmes,99.0
2014/2015,Adult criminal courts,Colombie-Britannique,Administration of justice,55 years and over,Sex unknown,46.0
2015/2016,Adult criminal courts,Colombie-Britannique,Administration of justice,55 years and over,Sex unknown,66.0
2016/2017,Adult criminal courts,Colombie-Britannique,Administration of justice,55 years and over,Sex unknown,208.0
2017/2018,Adult criminal courts,Colombie-Britannique,Administration of justice,55 years and over,Sex unknown,228.0
2018/2019,Adult criminal courts,Colombie-Britannique,Administration of justice,55 years and over,Sex unknown,65.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Total,189.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Total,169.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Total,187.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Total,201.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Total,190.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Hommes,196.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Hommes,174.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Hommes,195.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Hommes,202.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Hommes,196.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Femmes,142.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Femmes,156.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Femmes,148.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Femmes,196.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Femmes,180.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Company,0.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Company,0.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Company,0.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Company,0.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Company,0.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Sex unknown,254.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Sex unknown,158.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Sex unknown,689.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Sex unknown,0.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,Total,Sex unknown,0.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Total,169.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Total,182.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Total,181.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Total,202.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Total,213.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Hommes,176.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Hommes,182.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Hommes,190.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Hommes,197.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Hommes,212.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Femmes,125.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Femmes,182.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Femmes,157.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Femmes,268.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Femmes,213.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Total,187.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Total,154.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Total,194.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Total,199.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Total,177.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Hommes,202.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Hommes,157.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Hommes,203.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Hommes,201.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Hommes,182.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Femmes,121.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Femmes,136.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Femmes,121.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Femmes,184.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Femmes,166.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Total,201.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Total,187.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Total,199.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Total,199.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Total,221.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Hommes,199.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Hommes,188.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Hommes,206.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Hommes,199.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Hommes,236.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Femmes,210.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Femmes,185.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Femmes,179.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Femmes,198.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Femmes,142.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Sex unknown,269.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Total,198.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Total,172.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Total,195.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Total,204.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Total,219.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Hommes,210.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Hommes,177.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Hommes,202.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Hommes,213.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Hommes,220.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Femmes,133.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Femmes,122.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Femmes,154.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Femmes,191.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Femmes,219.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Sex unknown,991.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Total,170.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Total,159.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Total,157.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Total,197.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Total,155.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Hommes,171.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Hommes,157.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Hommes,169.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Hommes,199.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Hommes,162.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Femmes,141.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Femmes,170.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Femmes,106.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Femmes,192.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Femmes,123.0
2014/2015,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Sex unknown,0.0
2015/2016,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Sex unknown,0.0
2016/2017,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Sex unknown,0.0
2017/2018,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Sex unknown,0.0
2018/2019,Adult criminal courts,Colombie-Britannique,Criminal Code traffic,55 years and over,Sex unknown,0.0
2014/2015,Adult criminal courts,Yukon,Total offences,Total,Total,103.0
2015/2016,Adult criminal courts,Yukon,Total offences,Total,Total,85.0
2016/2017,Adult criminal courts,Yukon,Total offences,Total,Total,113.0
2017/2018,Adult criminal courts,Yukon,Total offences,Total,Total,172.0
2018/2019,Adult criminal courts,Yukon,Total offences,Total,Total,162.0
2014/2015,Adult criminal courts,Yukon,Total offences,Total,Hommes,99.0
2015/2016,Adult criminal courts,Yukon,Total offences,Total,Hommes,84.0
2016/2017,Adult criminal courts,Yukon,Total offences,Total,Hommes,113.0
2017/2018,Adult criminal courts,Yukon,Total offences,Total,Hommes,175.0
2018/2019,Adult criminal courts,Yukon,Total offences,Total,Hommes,164.0
2014/2015,Adult criminal courts,Yukon,Total offences,Total,Femmes,113.0
2015/2016,Adult criminal courts,Yukon,Total offences,Total,Femmes,100.0
2016/2017,Adult criminal courts,Yukon,Total offences,Total,Femmes,113.0
2017/2018,Adult criminal courts,Yukon,Total offences,Total,Femmes,163.0
2018/2019,Adult criminal courts,Yukon,Total offences,Total,Femmes,169.0
2014/2015,Adult criminal courts,Yukon,Total offences,Total,Company,0.0
2015/2016,Adult criminal courts,Yukon,Total offences,Total,Company,0.0
2016/2017,Adult criminal courts,Yukon,Total offences,Total,Company,0.0
2017/2018,Adult criminal courts,Yukon,Total offences,Total,Company,1.0
2018/2019,Adult criminal courts,Yukon,Total offences,Total,Company,0.0
2014/2015,Adult criminal courts,Yukon,Total offences,Total,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total offences,Total,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total offences,Total,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total offences,Total,Sex unknown,2.0
2018/2019,Adult criminal courts,Yukon,Total offences,Total,Sex unknown,51.0
2014/2015,Adult criminal courts,Yukon,Total offences,18 to 24 years,Total,103.0
2015/2016,Adult criminal courts,Yukon,Total offences,18 to 24 years,Total,80.0
2016/2017,Adult criminal courts,Yukon,Total offences,18 to 24 years,Total,134.0
2017/2018,Adult criminal courts,Yukon,Total offences,18 to 24 years,Total,183.0
2018/2019,Adult criminal courts,Yukon,Total offences,18 to 24 years,Total,169.0
2014/2015,Adult criminal courts,Yukon,Total offences,18 to 24 years,Hommes,112.0
2015/2016,Adult criminal courts,Yukon,Total offences,18 to 24 years,Hommes,79.0
2016/2017,Adult criminal courts,Yukon,Total offences,18 to 24 years,Hommes,137.0
2017/2018,Adult criminal courts,Yukon,Total offences,18 to 24 years,Hommes,190.0
2018/2019,Adult criminal courts,Yukon,Total offences,18 to 24 years,Hommes,184.0
2014/2015,Adult criminal courts,Yukon,Total offences,18 to 24 years,Femmes,83.0
2015/2016,Adult criminal courts,Yukon,Total offences,18 to 24 years,Femmes,108.0
2016/2017,Adult criminal courts,Yukon,Total offences,18 to 24 years,Femmes,113.0
2017/2018,Adult criminal courts,Yukon,Total offences,18 to 24 years,Femmes,176.0
2018/2019,Adult criminal courts,Yukon,Total offences,18 to 24 years,Femmes,107.0
2014/2015,Adult criminal courts,Yukon,Total offences,18 to 24 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total offences,18 to 24 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total offences,18 to 24 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total offences,18 to 24 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Yukon,Total offences,18 to 24 years,Sex unknown,205.0
2014/2015,Adult criminal courts,Yukon,Total offences,25 to 34 years,Total,94.0
2015/2016,Adult criminal courts,Yukon,Total offences,25 to 34 years,Total,71.0
2016/2017,Adult criminal courts,Yukon,Total offences,25 to 34 years,Total,103.0
2017/2018,Adult criminal courts,Yukon,Total offences,25 to 34 years,Total,182.0
2018/2019,Adult criminal courts,Yukon,Total offences,25 to 34 years,Total,171.0
2014/2015,Adult criminal courts,Yukon,Total offences,25 to 34 years,Hommes,86.0
2015/2016,Adult criminal courts,Yukon,Total offences,25 to 34 years,Hommes,64.0
2016/2017,Adult criminal courts,Yukon,Total offences,25 to 34 years,Hommes,95.0
2017/2018,Adult criminal courts,Yukon,Total offences,25 to 34 years,Hommes,178.0
2018/2019,Adult criminal courts,Yukon,Total offences,25 to 34 years,Hommes,171.0
2014/2015,Adult criminal courts,Yukon,Total offences,25 to 34 years,Femmes,111.0
2015/2016,Adult criminal courts,Yukon,Total offences,25 to 34 years,Femmes,101.0
2016/2017,Adult criminal courts,Yukon,Total offences,25 to 34 years,Femmes,127.0
2017/2018,Adult criminal courts,Yukon,Total offences,25 to 34 years,Femmes,188.0
2018/2019,Adult criminal courts,Yukon,Total offences,25 to 34 years,Femmes,188.0
2014/2015,Adult criminal courts,Yukon,Total offences,25 to 34 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total offences,25 to 34 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total offences,25 to 34 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total offences,25 to 34 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Yukon,Total offences,25 to 34 years,Sex unknown,12.0
2014/2015,Adult criminal courts,Yukon,Total offences,35 to 44 years,Total,118.0
2015/2016,Adult criminal courts,Yukon,Total offences,35 to 44 years,Total,79.0
2016/2017,Adult criminal courts,Yukon,Total offences,35 to 44 years,Total,127.0
2017/2018,Adult criminal courts,Yukon,Total offences,35 to 44 years,Total,162.0
2018/2019,Adult criminal courts,Yukon,Total offences,35 to 44 years,Total,154.0
2014/2015,Adult criminal courts,Yukon,Total offences,35 to 44 years,Hommes,114.0
2015/2016,Adult criminal courts,Yukon,Total offences,35 to 44 years,Hommes,77.0
2016/2017,Adult criminal courts,Yukon,Total offences,35 to 44 years,Hommes,140.0
2017/2018,Adult criminal courts,Yukon,Total offences,35 to 44 years,Hommes,176.0
2018/2019,Adult criminal courts,Yukon,Total offences,35 to 44 years,Hommes,153.0
2014/2015,Adult criminal courts,Yukon,Total offences,35 to 44 years,Femmes,145.0
2015/2016,Adult criminal courts,Yukon,Total offences,35 to 44 years,Femmes,80.0
2016/2017,Adult criminal courts,Yukon,Total offences,35 to 44 years,Femmes,115.0
2017/2018,Adult criminal courts,Yukon,Total offences,35 to 44 years,Femmes,117.0
2018/2019,Adult criminal courts,Yukon,Total offences,35 to 44 years,Femmes,157.0
2014/2015,Adult criminal courts,Yukon,Total offences,35 to 44 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total offences,35 to 44 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total offences,35 to 44 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total offences,35 to 44 years,Sex unknown,46.0
2018/2019,Adult criminal courts,Yukon,Total offences,35 to 44 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Yukon,Total offences,45 to 54 years,Total,100.0
2015/2016,Adult criminal courts,Yukon,Total offences,45 to 54 years,Total,106.0
2016/2017,Adult criminal courts,Yukon,Total offences,45 to 54 years,Total,84.0
2017/2018,Adult criminal courts,Yukon,Total offences,45 to 54 years,Total,173.0
2018/2019,Adult criminal courts,Yukon,Total offences,45 to 54 years,Total,141.0
2014/2015,Adult criminal courts,Yukon,Total offences,45 to 54 years,Hommes,87.0
2015/2016,Adult criminal courts,Yukon,Total offences,45 to 54 years,Hommes,101.0
2016/2017,Adult criminal courts,Yukon,Total offences,45 to 54 years,Hommes,85.0
2017/2018,Adult criminal courts,Yukon,Total offences,45 to 54 years,Hommes,177.0
2018/2019,Adult criminal courts,Yukon,Total offences,45 to 54 years,Hommes,141.0
2014/2015,Adult criminal courts,Yukon,Total offences,45 to 54 years,Femmes,142.0
2015/2016,Adult criminal courts,Yukon,Total offences,45 to 54 years,Femmes,119.0
2016/2017,Adult criminal courts,Yukon,Total offences,45 to 54 years,Femmes,71.0
2017/2018,Adult criminal courts,Yukon,Total offences,45 to 54 years,Femmes,114.0
2018/2019,Adult criminal courts,Yukon,Total offences,45 to 54 years,Femmes,156.0
2014/2015,Adult criminal courts,Yukon,Total offences,45 to 54 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total offences,45 to 54 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total offences,45 to 54 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total offences,45 to 54 years,Sex unknown,2.0
2018/2019,Adult criminal courts,Yukon,Total offences,45 to 54 years,Sex unknown,51.0
2014/2015,Adult criminal courts,Yukon,Total offences,55 years and over,Total,106.0
2015/2016,Adult criminal courts,Yukon,Total offences,55 years and over,Total,119.0
2016/2017,Adult criminal courts,Yukon,Total offences,55 years and over,Total,131.0
2017/2018,Adult criminal courts,Yukon,Total offences,55 years and over,Total,162.0
2018/2019,Adult criminal courts,Yukon,Total offences,55 years and over,Total,137.0
2014/2015,Adult criminal courts,Yukon,Total offences,55 years and over,Hommes,106.0
2015/2016,Adult criminal courts,Yukon,Total offences,55 years and over,Hommes,121.0
2016/2017,Adult criminal courts,Yukon,Total offences,55 years and over,Hommes,141.0
2017/2018,Adult criminal courts,Yukon,Total offences,55 years and over,Hommes,165.0
2018/2019,Adult criminal courts,Yukon,Total offences,55 years and over,Hommes,145.0
2014/2015,Adult criminal courts,Yukon,Total offences,55 years and over,Femmes,109.0
2015/2016,Adult criminal courts,Yukon,Total offences,55 years and over,Femmes,78.0
2016/2017,Adult criminal courts,Yukon,Total offences,55 years and over,Femmes,87.0
2017/2018,Adult criminal courts,Yukon,Total offences,55 years and over,Femmes,71.0
2018/2019,Adult criminal courts,Yukon,Total offences,55 years and over,Femmes,127.0
2014/2015,Adult criminal courts,Yukon,Total offences,55 years and over,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total offences,55 years and over,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total offences,55 years and over,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total offences,55 years and over,Sex unknown,0.0
2018/2019,Adult criminal courts,Yukon,Total offences,55 years and over,Sex unknown,16.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,Total,Total,102.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,Total,Total,85.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,Total,Total,113.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,Total,Total,172.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,Total,Total,162.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,Total,Hommes,99.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,Total,Hommes,79.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,Total,Hommes,113.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,Total,Hommes,175.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,Total,Hommes,162.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,Total,Femmes,113.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,Total,Femmes,101.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,Total,Femmes,113.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,Total,Femmes,163.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,Total,Femmes,163.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,Total,Company,0.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,Total,Company,0.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,Total,Company,0.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,Total,Company,0.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,Total,Company,0.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,Total,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,Total,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,Total,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,Total,Sex unknown,2.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,Total,Sex unknown,71.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Total,104.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Total,83.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Total,134.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Total,190.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Total,152.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Hommes,112.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Hommes,79.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Hommes,137.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Hommes,210.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Hommes,176.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Femmes,86.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Femmes,115.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Femmes,117.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Femmes,179.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Femmes,107.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,18 to 24 years,Sex unknown,205.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,25 to 34 years,Total,99.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,25 to 34 years,Total,69.0
2016/2017,Adult criminal courts,Yukon,Total Criminal Code,25 to 34 years,Total,103.0
2017/2018,Adult criminal courts,Yukon,Total Criminal Code,25 to 34 years,Total,182.0
2018/2019,Adult criminal courts,Yukon,Total Criminal Code,25 to 34 years,Total,171.0
2014/2015,Adult criminal courts,Yukon,Total Criminal Code,25 to 34 years,Hommes,92.0
2015/2016,Adult criminal courts,Yukon,Total Criminal Code,25 to 34 years,Hommes,60.0
