Year,Géographie,data.Educational attainment level,Groupe d'âge,Sexe,Value
2013,Québec,data.Master's or Doctoral level,25 to 34 years,Male,9.0
2014,Québec,data.Master's or Doctoral level,25 to 34 years,Male,8.0
2015,Québec,data.Master's or Doctoral level,25 to 34 years,Male,8.0
2016,Québec,data.Master's or Doctoral level,25 to 34 years,Male,8.0
2017,Québec,data.Master's or Doctoral level,25 to 34 years,Male,9.0
2018,Québec,data.Master's or Doctoral level,25 to 34 years,Male,8.0
2019,Québec,data.Master's or Doctoral level,25 to 34 years,Male,10.0
2020,Québec,data.Master's or Doctoral level,25 to 34 years,Male,11.0
2010,Québec,data.Master's or Doctoral level,25 to 34 years,Female,8.0
2011,Québec,data.Master's or Doctoral level,25 to 34 years,Female,9.0
2012,Québec,data.Master's or Doctoral level,25 to 34 years,Female,11.0
2013,Québec,data.Master's or Doctoral level,25 to 34 years,Female,10.0
2014,Québec,data.Master's or Doctoral level,25 to 34 years,Female,10.0
2015,Québec,data.Master's or Doctoral level,25 to 34 years,Female,12.0
2016,Québec,data.Master's or Doctoral level,25 to 34 years,Female,13.0
2017,Québec,data.Master's or Doctoral level,25 to 34 years,Female,14.0
2018,Québec,data.Master's or Doctoral level,25 to 34 years,Female,14.0
2019,Québec,data.Master's or Doctoral level,25 to 34 years,Female,13.0
2020,Québec,data.Master's or Doctoral level,25 to 34 years,Female,17.0
2010,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,9.0
2011,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,10.0
2012,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,11.0
2013,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,11.0
2014,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,10.0
2015,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,11.0
2016,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,13.0
2017,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,13.0
2018,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,12.0
2019,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,12.0
2020,Québec,data.Master's or Doctoral level,30 à 34 ans,Les deux sexes,16.0
2010,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,10.0
2011,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,9.0
2012,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,9.0
2013,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,10.0
2014,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,9.0
2015,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,10.0
2016,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,10.0
2017,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,10.0
2018,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,9.0
2019,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,11.0
2020,Québec,data.Master's or Doctoral level,30 à 34 ans,Male,14.0
2010,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,7.0
2011,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,10.0
2012,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,12.0
2013,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,12.0
2014,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,11.0
2015,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,13.0
2016,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,15.0
2017,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,17.0
2018,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,15.0
2019,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,14.0
2020,Québec,data.Master's or Doctoral level,30 à 34 ans,Female,19.0
2010,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,9.0
2011,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,9.0
2012,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,10.0
2013,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,10.0
2014,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,10.0
2015,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,11.0
2016,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,11.0
2017,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,12.0
2018,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,12.0
2019,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,13.0
2020,Québec,data.Master's or Doctoral level,35 to 44 years,Les deux sexes,14.0
2010,Québec,data.Master's or Doctoral level,35 to 44 years,Male,8.0
2011,Québec,data.Master's or Doctoral level,35 to 44 years,Male,8.0
2012,Québec,data.Master's or Doctoral level,35 to 44 years,Male,9.0
2013,Québec,data.Master's or Doctoral level,35 to 44 years,Male,10.0
2014,Québec,data.Master's or Doctoral level,35 to 44 years,Male,9.0
2015,Québec,data.Master's or Doctoral level,35 to 44 years,Male,10.0
2016,Québec,data.Master's or Doctoral level,35 to 44 years,Male,10.0
2017,Québec,data.Master's or Doctoral level,35 to 44 years,Male,12.0
2018,Québec,data.Master's or Doctoral level,35 to 44 years,Male,11.0
2019,Québec,data.Master's or Doctoral level,35 to 44 years,Male,12.0
2020,Québec,data.Master's or Doctoral level,35 to 44 years,Male,12.0
2010,Québec,data.Master's or Doctoral level,35 to 44 years,Female,9.0
2011,Québec,data.Master's or Doctoral level,35 to 44 years,Female,9.0
2012,Québec,data.Master's or Doctoral level,35 to 44 years,Female,10.0
2013,Québec,data.Master's or Doctoral level,35 to 44 years,Female,11.0
2014,Québec,data.Master's or Doctoral level,35 to 44 years,Female,11.0
2015,Québec,data.Master's or Doctoral level,35 to 44 years,Female,12.0
2016,Québec,data.Master's or Doctoral level,35 to 44 years,Female,12.0
2017,Québec,data.Master's or Doctoral level,35 to 44 years,Female,13.0
2018,Québec,data.Master's or Doctoral level,35 to 44 years,Female,13.0
2019,Québec,data.Master's or Doctoral level,35 to 44 years,Female,14.0
2020,Québec,data.Master's or Doctoral level,35 to 44 years,Female,16.0
2010,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,6.0
2011,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,6.0
2012,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,6.0
2013,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,6.0
2014,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,7.0
2015,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,8.0
2016,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,8.0
2017,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,8.0
2018,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,8.0
2019,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,9.0
2020,Québec,data.Master's or Doctoral level,45 to 54 years,Les deux sexes,10.0
2010,Québec,data.Master's or Doctoral level,45 to 54 years,Male,6.0
2011,Québec,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2012,Québec,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2013,Québec,data.Master's or Doctoral level,45 to 54 years,Male,6.0
2014,Québec,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2015,Québec,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2016,Québec,data.Master's or Doctoral level,45 to 54 years,Male,9.0
2017,Québec,data.Master's or Doctoral level,45 to 54 years,Male,8.0
2018,Québec,data.Master's or Doctoral level,45 to 54 years,Male,8.0
2019,Québec,data.Master's or Doctoral level,45 to 54 years,Male,9.0
2020,Québec,data.Master's or Doctoral level,45 to 54 years,Male,9.0
2010,Québec,data.Master's or Doctoral level,45 to 54 years,Female,6.0
2011,Québec,data.Master's or Doctoral level,45 to 54 years,Female,5.0
2012,Québec,data.Master's or Doctoral level,45 to 54 years,Female,5.0
2013,Québec,data.Master's or Doctoral level,45 to 54 years,Female,5.0
2014,Québec,data.Master's or Doctoral level,45 to 54 years,Female,6.0
2015,Québec,data.Master's or Doctoral level,45 to 54 years,Female,8.0
2016,Québec,data.Master's or Doctoral level,45 to 54 years,Female,7.0
2017,Québec,data.Master's or Doctoral level,45 to 54 years,Female,8.0
2018,Québec,data.Master's or Doctoral level,45 to 54 years,Female,8.0
2019,Québec,data.Master's or Doctoral level,45 to 54 years,Female,9.0
2020,Québec,data.Master's or Doctoral level,45 to 54 years,Female,10.0
2010,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,6.0
2011,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,7.0
2012,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,6.0
2013,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,7.0
2014,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,7.0
2015,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,6.0
2016,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,6.0
2017,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,6.0
2018,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,6.0
2019,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,7.0
2020,Québec,data.Master's or Doctoral level,55 à 64 ans,Les deux sexes,6.0
2010,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,7.0
2011,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,8.0
2012,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,8.0
2013,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,8.0
2014,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,8.0
2015,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,7.0
2016,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,7.0
2017,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,6.0
2018,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,7.0
2019,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,7.0
2020,Québec,data.Master's or Doctoral level,55 à 64 ans,Male,7.0
2010,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,4.0
2011,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,5.0
2012,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,5.0
2013,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,6.0
2014,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,6.0
2015,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,6.0
2016,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,5.0
2017,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,5.0
2018,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,6.0
2019,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,7.0
2020,Québec,data.Master's or Doctoral level,55 à 64 ans,Female,6.0
2010,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,57.0
2011,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,58.0
2012,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,59.0
2013,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,60.0
2014,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,60.0
2015,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,62.0
2016,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,63.0
2017,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,62.0
2018,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,64.0
2019,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,65.0
2020,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Les deux sexes,66.0
2010,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,52.0
2011,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,54.0
2012,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,54.0
2013,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,55.0
2014,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,56.0
2015,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,57.0
2016,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,58.0
2017,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,57.0
2018,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,59.0
2019,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,61.0
2020,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Male,61.0
2010,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,61.0
2011,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,61.0
2012,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,63.0
2013,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,65.0
2014,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,64.0
2015,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,66.0
2016,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,67.0
2017,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,67.0
2018,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,69.0
2019,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,70.0
2020,Ontario,data.Tertiary education,"data.Total, 25 to 64 years",Female,71.0
2010,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,64.0
2011,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,64.0
2012,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,64.0
2013,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,65.0
2014,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,65.0
2015,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,67.0
2016,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,68.0
2017,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,68.0
2018,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,69.0
2019,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,70.0
2020,Ontario,data.Tertiary education,25 to 34 years,Les deux sexes,71.0
2010,Ontario,data.Tertiary education,25 to 34 years,Male,57.0
2011,Ontario,data.Tertiary education,25 to 34 years,Male,58.0
2012,Ontario,data.Tertiary education,25 to 34 years,Male,56.0
2013,Ontario,data.Tertiary education,25 to 34 years,Male,57.0
2014,Ontario,data.Tertiary education,25 to 34 years,Male,59.0
2015,Ontario,data.Tertiary education,25 to 34 years,Male,61.0
2016,Ontario,data.Tertiary education,25 to 34 years,Male,60.0
2017,Ontario,data.Tertiary education,25 to 34 years,Male,60.0
2018,Ontario,data.Tertiary education,25 to 34 years,Male,62.0
2019,Ontario,data.Tertiary education,25 to 34 years,Male,64.0
2020,Ontario,data.Tertiary education,25 to 34 years,Male,64.0
2010,Ontario,data.Tertiary education,25 to 34 years,Female,71.0
2011,Ontario,data.Tertiary education,25 to 34 years,Female,70.0
2012,Ontario,data.Tertiary education,25 to 34 years,Female,72.0
2013,Ontario,data.Tertiary education,25 to 34 years,Female,73.0
2014,Ontario,data.Tertiary education,25 to 34 years,Female,71.0
2015,Ontario,data.Tertiary education,25 to 34 years,Female,74.0
2016,Ontario,data.Tertiary education,25 to 34 years,Female,75.0
2017,Ontario,data.Tertiary education,25 to 34 years,Female,75.0
2018,Ontario,data.Tertiary education,25 to 34 years,Female,76.0
2019,Ontario,data.Tertiary education,25 to 34 years,Female,77.0
2020,Ontario,data.Tertiary education,25 to 34 years,Female,79.0
2010,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,66.0
2011,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,65.0
2012,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,64.0
2013,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,66.0
2014,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,66.0
2015,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,69.0
2016,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,68.0
2017,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,69.0
2018,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,70.0
2019,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,70.0
2020,Ontario,data.Tertiary education,30 à 34 ans,Les deux sexes,73.0
2010,Ontario,data.Tertiary education,30 à 34 ans,Male,61.0
2011,Ontario,data.Tertiary education,30 à 34 ans,Male,59.0
2012,Ontario,data.Tertiary education,30 à 34 ans,Male,56.0
2013,Ontario,data.Tertiary education,30 à 34 ans,Male,58.0
2014,Ontario,data.Tertiary education,30 à 34 ans,Male,60.0
2015,Ontario,data.Tertiary education,30 à 34 ans,Male,63.0
2016,Ontario,data.Tertiary education,30 à 34 ans,Male,61.0
2017,Ontario,data.Tertiary education,30 à 34 ans,Male,62.0
2018,Ontario,data.Tertiary education,30 à 34 ans,Male,64.0
2019,Ontario,data.Tertiary education,30 à 34 ans,Male,64.0
2020,Ontario,data.Tertiary education,30 à 34 ans,Male,66.0
2010,Ontario,data.Tertiary education,30 à 34 ans,Female,71.0
2011,Ontario,data.Tertiary education,30 à 34 ans,Female,70.0
2012,Ontario,data.Tertiary education,30 à 34 ans,Female,72.0
2013,Ontario,data.Tertiary education,30 à 34 ans,Female,74.0
2014,Ontario,data.Tertiary education,30 à 34 ans,Female,71.0
2015,Ontario,data.Tertiary education,30 à 34 ans,Female,74.0
2016,Ontario,data.Tertiary education,30 à 34 ans,Female,75.0
2017,Ontario,data.Tertiary education,30 à 34 ans,Female,75.0
2018,Ontario,data.Tertiary education,30 à 34 ans,Female,76.0
2019,Ontario,data.Tertiary education,30 à 34 ans,Female,76.0
2020,Ontario,data.Tertiary education,30 à 34 ans,Female,81.0
2010,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,61.0
2011,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,64.0
2012,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,65.0
2013,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,67.0
2014,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,67.0
2015,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,68.0
2016,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,67.0
2017,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,69.0
2018,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,69.0
2019,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,70.0
2020,Ontario,data.Tertiary education,35 to 44 years,Les deux sexes,71.0
2010,Ontario,data.Tertiary education,35 to 44 years,Male,56.0
2011,Ontario,data.Tertiary education,35 to 44 years,Male,58.0
2012,Ontario,data.Tertiary education,35 to 44 years,Male,60.0
2013,Ontario,data.Tertiary education,35 to 44 years,Male,61.0
2014,Ontario,data.Tertiary education,35 to 44 years,Male,62.0
2015,Ontario,data.Tertiary education,35 to 44 years,Male,62.0
2016,Ontario,data.Tertiary education,35 to 44 years,Male,61.0
2017,Ontario,data.Tertiary education,35 to 44 years,Male,62.0
2018,Ontario,data.Tertiary education,35 to 44 years,Male,63.0
2019,Ontario,data.Tertiary education,35 to 44 years,Male,64.0
2020,Ontario,data.Tertiary education,35 to 44 years,Male,65.0
2010,Ontario,data.Tertiary education,35 to 44 years,Female,67.0
2011,Ontario,data.Tertiary education,35 to 44 years,Female,70.0
2012,Ontario,data.Tertiary education,35 to 44 years,Female,70.0
2013,Ontario,data.Tertiary education,35 to 44 years,Female,72.0
2014,Ontario,data.Tertiary education,35 to 44 years,Female,72.0
2015,Ontario,data.Tertiary education,35 to 44 years,Female,73.0
2016,Ontario,data.Tertiary education,35 to 44 years,Female,73.0
2017,Ontario,data.Tertiary education,35 to 44 years,Female,75.0
2018,Ontario,data.Tertiary education,35 to 44 years,Female,75.0
2019,Ontario,data.Tertiary education,35 to 44 years,Female,76.0
2020,Ontario,data.Tertiary education,35 to 44 years,Female,77.0
2010,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,52.0
2011,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,55.0
2012,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,55.0
2013,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,56.0
2014,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,57.0
2015,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,59.0
2016,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,62.0
2017,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,61.0
2018,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,64.0
2019,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,66.0
2020,Ontario,data.Tertiary education,45 to 54 years,Les deux sexes,66.0
2010,Ontario,data.Tertiary education,45 to 54 years,Male,49.0
2011,Ontario,data.Tertiary education,45 to 54 years,Male,51.0
2012,Ontario,data.Tertiary education,45 to 54 years,Male,52.0
2013,Ontario,data.Tertiary education,45 to 54 years,Male,52.0
2014,Ontario,data.Tertiary education,45 to 54 years,Male,53.0
2015,Ontario,data.Tertiary education,45 to 54 years,Male,56.0
2016,Ontario,data.Tertiary education,45 to 54 years,Male,58.0
2017,Ontario,data.Tertiary education,45 to 54 years,Male,57.0
2018,Ontario,data.Tertiary education,45 to 54 years,Male,60.0
2019,Ontario,data.Tertiary education,45 to 54 years,Male,62.0
2020,Ontario,data.Tertiary education,45 to 54 years,Male,62.0
2010,Ontario,data.Tertiary education,45 to 54 years,Female,56.0
2011,Ontario,data.Tertiary education,45 to 54 years,Female,58.0
2012,Ontario,data.Tertiary education,45 to 54 years,Female,58.0
2013,Ontario,data.Tertiary education,45 to 54 years,Female,60.0
2014,Ontario,data.Tertiary education,45 to 54 years,Female,60.0
2015,Ontario,data.Tertiary education,45 to 54 years,Female,63.0
2016,Ontario,data.Tertiary education,45 to 54 years,Female,66.0
2017,Ontario,data.Tertiary education,45 to 54 years,Female,65.0
2018,Ontario,data.Tertiary education,45 to 54 years,Female,68.0
2019,Ontario,data.Tertiary education,45 to 54 years,Female,70.0
2020,Ontario,data.Tertiary education,45 to 54 years,Female,69.0
2010,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,48.0
2011,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,48.0
2012,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,50.0
2013,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,52.0
2014,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,51.0
2015,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,52.0
2016,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,53.0
2017,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,52.0
2018,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,53.0
2019,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,56.0
2020,Ontario,data.Tertiary education,55 à 64 ans,Les deux sexes,56.0
2010,Ontario,data.Tertiary education,55 à 64 ans,Male,47.0
2011,Ontario,data.Tertiary education,55 à 64 ans,Male,48.0
2012,Ontario,data.Tertiary education,55 à 64 ans,Male,49.0
2013,Ontario,data.Tertiary education,55 à 64 ans,Male,50.0
2014,Ontario,data.Tertiary education,55 à 64 ans,Male,50.0
2015,Ontario,data.Tertiary education,55 à 64 ans,Male,50.0
2016,Ontario,data.Tertiary education,55 à 64 ans,Male,51.0
2017,Ontario,data.Tertiary education,55 à 64 ans,Male,49.0
2018,Ontario,data.Tertiary education,55 à 64 ans,Male,50.0
2019,Ontario,data.Tertiary education,55 à 64 ans,Male,53.0
2020,Ontario,data.Tertiary education,55 à 64 ans,Male,54.0
2010,Ontario,data.Tertiary education,55 à 64 ans,Female,49.0
2011,Ontario,data.Tertiary education,55 à 64 ans,Female,47.0
2012,Ontario,data.Tertiary education,55 à 64 ans,Female,51.0
2013,Ontario,data.Tertiary education,55 à 64 ans,Female,53.0
2014,Ontario,data.Tertiary education,55 à 64 ans,Female,53.0
2015,Ontario,data.Tertiary education,55 à 64 ans,Female,54.0
2016,Ontario,data.Tertiary education,55 à 64 ans,Female,55.0
2017,Ontario,data.Tertiary education,55 à 64 ans,Female,55.0
2018,Ontario,data.Tertiary education,55 à 64 ans,Female,56.0
2019,Ontario,data.Tertiary education,55 à 64 ans,Female,58.0
2020,Ontario,data.Tertiary education,55 à 64 ans,Female,58.0
2010,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,27.0
2011,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,28.0
2012,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,28.0
2013,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,28.0
2014,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,28.0
2015,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,29.0
2016,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,28.0
2017,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,28.0
2018,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,29.0
2019,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,29.0
2020,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,28.0
2010,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,24.0
2011,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,25.0
2012,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,25.0
2013,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,25.0
2014,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,26.0
2015,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,26.0
2016,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,25.0
2017,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,25.0
2018,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,25.0
2019,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,26.0
2020,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,26.0
2010,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2011,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2012,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2013,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2014,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2015,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,32.0
2016,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2017,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2018,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,32.0
2019,Ontario,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
